symbol,open,high,low,close,volume
EGX:ABUK,3.45272407,3.45454236,3.38181515,3.4043607,610500.54652501
EGX:ABUK,3.41854247,3.47163329,3.41854247,3.44908775,842985.75464764
EGX:ABUK,3.43999685,3.62145116,3.43636056,3.50726948,828438.24162459
EGX:ABUK,3.52726957,3.59926961,3.50945148,3.55163311,327580.29325252
EGX:ABUK,3.54617853,3.59999678,3.54581508,3.56508775,1059163.44817165
EGX:ABUK,3.59999678,3.74326938,3.59999678,3.71708758,1404976.25774606
EGX:ABUK,3.88726925,3.9029056,3.88726925,3.90217832,282205.25263242
EGX:ABUK,3.89090561,4.09708724,3.89090561,4.03599639,562568.00361541
EGX:ABUK,3.99999642,4.06908727,3.96363282,4.00072369,536937.9806712
EGX:ABUK,3.99999642,4.20072351,3.99999642,4.11963268,569003.00937608
EGX:ABUK,4.20072351,4.32545067,4.18254171,4.31781432,899690.80541046
EGX:ABUK,4.36399609,4.36472337,4.14545083,4.25454165,121935.10915729
EGX:ABUK,4.14581447,4.14581447,4.04181456,4.06072364,368775.33013065
EGX:ABUK,3.85781473,3.89090561,3.85781473,3.86036018,925458.32847775
EGX:ABUK,3.854542,4.01817822,3.854542,3.98908734,2163839.43708649
EGX:ABUK,3.99999642,4.00072369,3.89126924,3.99017825,1697384.01951184
EGX:ABUK,3.89090561,3.89090561,3.7909057,3.81199659,587648.02606725
EGX:ABUK,3.85417837,3.89090561,3.74545119,3.82436021,237407.7125293
EGX:ABUK,3.78254207,3.78545116,3.74545119,3.78072389,251075.22476456
EGX:ABUK,3.7818148,3.8181784,3.74545119,3.7647239,102245.09153063
EGX:ABUK,3.67272398,3.67308762,3.57672411,3.62508774,187962.66826569
EGX:ABUK,3.45454236,3.47308787,3.44399688,3.45308778,241340.21604971
EGX:ABUK,3.31272423,3.31272423,3.28072437,3.2865424,210375.18832956
EGX:ABUK,3.45017862,3.45054233,3.4174516,3.44290601,290015.259624
EGX:ABUK,3.45454236,3.45454236,3.29126985,3.31817885,808225.72353018
EGX:ABUK,3.48181506,3.48399681,3.34472439,3.38726977,515047.96107508
EGX:ABUK,3.45417865,3.55636056,3.45417865,3.52436041,91025.08148639
EGX:ABUK,3.63636038,3.70036032,3.63599667,3.6970876,418550.37468967
EGX:ABUK,3.51236035,3.70908759,3.51236035,3.64726946,234712.71011671
EGX:ABUK,3.46508784,3.49999687,3.46508784,3.47817878,83737.57496255
EGX:ABUK,3.65199673,3.65199673,3.65199673,3.65199673,187852.66816722
EGX:ABUK,3.83272384,3.83272384,3.53454218,3.73454211,90337.58087093
EGX:ABUK,3.7818148,3.7818148,3.56399688,3.61781487,166100.14869419
EGX:ABUK,3.57090579,3.63636038,3.52726957,3.61454229,361405.32353296
EGX:ABUK,3.63636038,3.63672402,3.63636038,3.63636038,279702.75039215
EGX:ABUK,3.56363317,3.63636038,3.56363317,3.60472394,147097.63168298
EGX:ABUK,3.63599667,3.63636038,3.52726957,3.59126959,151305.13544958
EGX:ABUK,3.58145127,3.58181498,3.58145127,3.58145127,4400.00393892
EGX:ABUK,3.63636038,3.63636038,3.53817876,3.58690584,17050.01526331
EGX:ABUK,3.56908779,3.63636038,3.56908779,3.62654232,98450.08813331
EGX:ABUK,3.56399688,3.56908779,3.56363317,3.56436034,87450.07828601
EGX:ABUK,3.51272406,3.54545137,3.51272406,3.51890583,24805.02220566
EGX:ABUK,3.52763328,3.53090586,3.52726957,3.52799673,147125.1317076
EGX:ABUK,3.52726957,3.52726957,3.47272416,3.49054226,173470.15529188
EGX:ABUK,3.49999687,3.50908777,3.45563323,3.50472403,586135.52471324
EGX:ABUK,3.4447243,3.49090597,3.44436059,3.4589061,23045.02063009
EGX:ABUK,3.45454236,3.45454236,3.41817876,3.42545137,263972.73631052
EGX:ABUK,3.41854247,3.45454236,3.41854247,3.44872404,4950.00443128
EGX:ABUK,3.42726966,3.49090597,3.42726966,3.48363335,144292.62917192
EGX:ABUK,3.50981493,3.50981493,3.50908777,3.50945148,179795.16095408
EGX:ABUK,3.49199684,3.49199684,3.42363337,3.46145152,281215.25174616
EGX:ABUK,3.41817876,3.54545137,3.41817876,3.48363335,182737.66358823
EGX:ABUK,3.45454236,3.45490607,3.4538152,3.45454236,26262.52351042
EGX:ABUK,3.38908777,3.4538152,3.38181515,3.39163322,155017.63877304
EGX:ABUK,3.39963325,3.40108783,3.38181515,3.39854238,54312.54862103
EGX:ABUK,3.43636056,3.56836033,3.41817876,3.45636065,254925.22821112
EGX:ABUK,3.45454236,3.45526952,3.45454236,3.45454236,240212.71504036
EGX:ABUK,3.45417865,3.45417865,3.41854247,3.43963314,9322.50834558
EGX:ABUK,3.41817876,3.45454236,3.39636067,3.4203605,19772.51770052
EGX:ABUK,3.4538152,3.4538152,3.38181515,3.39417863,392837.85167161
EGX:ABUK,3.36399706,3.36399706,3.35490616,3.36254248,20075.01797132
EGX:ABUK,3.36363335,3.38181515,3.36363335,3.36436052,68750.06154561
EGX:ABUK,3.38181515,3.38181515,3.38181515,3.38181515,8250.00738547
EGX:ABUK,3.38181515,3.38181515,3.34581526,3.36363335,28325.02535679
EGX:ABUK,3.39999696,3.39999696,3.32908804,3.3792697,205837.68426755
EGX:ABUK,3.34545155,3.34726984,3.34545155,3.34581526,11825.01058584
EGX:ABUK,3.34617871,3.35454245,3.34545155,3.347997,135217.6210479
EGX:ABUK,3.33090604,3.34581526,3.33090604,3.34254239,12375.01107821
EGX:ABUK,3.34581526,3.37817887,3.34545155,3.3610879,22330.01999001
EGX:ABUK,3.34545155,3.45417865,3.34545155,3.4294514,120890.1082218
EGX:ABUK,3.39999696,3.39999696,3.38181515,3.38763348,7425.00664693
EGX:ABUK,3.39999696,3.39999696,3.39963325,3.39999696,59400.05317541
EGX:ABUK,3.36363335,3.41272414,3.36363335,3.37963341,28875.02584916
EGX:ABUK,3.34545155,3.38145145,3.33308807,3.37199709,30250.02708007
EGX:ABUK,3.38108799,3.5403605,3.38108799,3.46581501,470305.4210212
EGX:ABUK,3.52836044,3.63890583,3.52836044,3.62290574,302445.27075144
EGX:ABUK,3.7818148,3.7818148,3.67236035,3.67708762,175862.65743367
EGX:ABUK,3.63636038,3.63636038,3.49345142,3.51490609,75267.56738013
EGX:ABUK,3.58908759,3.59999678,3.58908759,3.59454216,18425.01649422
EGX:ABUK,3.63454209,3.63636038,3.59999678,3.63563322,233365.20891041
EGX:ABUK,3.67272398,3.67272398,3.60908768,3.66472399,182737.66358823
EGX:ABUK,3.63636038,3.68145125,3.56363317,3.58145127,77000.06893108
EGX:ABUK,3.68145125,3.70908759,3.52726957,3.58836042,47135.04219567
EGX:ABUK,3.60363306,3.60363306,3.53454218,3.54799682,28737.52572606
EGX:ABUK,3.59999678,3.63599667,3.52763328,3.59781503,15675.0140324
EGX:ABUK,3.56363317,3.61636029,3.56363317,3.59599674,56512.55059049
EGX:ABUK,3.63636038,3.63636038,3.56363317,3.62108774,77000.06893108
EGX:ABUK,3.63599667,3.63636038,3.62545119,3.63454209,69492.5622103
EGX:ABUK,3.68945124,3.69090579,3.60399681,3.63817856,144787.62961505
EGX:ABUK,3.61817858,3.69054215,3.61817858,3.66872399,95122.5851545
EGX:ABUK,3.70908759,3.70908759,3.63636038,3.64472401,137225.12284504
EGX:ABUK,3.65490582,3.71272395,3.65490582,3.70908759,38087.53409627
EGX:ABUK,3.67708762,3.74436028,3.67708762,3.71345122,81812.57323927
EGX:ABUK,3.70945122,3.72654212,3.70908759,3.70981486,93225.08345585
EGX:ABUK,3.70981486,3.74108756,3.70908759,3.70945122,81977.57338698
EGX:ABUK,3.70981486,3.74545119,3.70908759,3.72108758,108295.09694664
EGX:ABUK,3.70908759,3.71090577,3.70908759,3.70981486,18287.51637113
EGX:ABUK,3.71090577,3.71090577,3.67636035,3.70581486,301125.26956977
EGX:ABUK,3.64181492,3.69999669,3.64181492,3.67163308,34760.03111746
EGX:ABUK,3.59999678,3.63636038,3.48836051,3.5625423,330687.79603438
EGX:ABUK,3.50908777,3.56363317,3.50908777,3.54908766,11275.01009348
EGX:ABUK,3.54545137,3.54545137,3.45454236,3.46217868,331622.7968714
EGX:ABUK,3.45454236,3.55926943,3.45454236,3.45526952,1108195.99206598
EGX:ABUK,3.61817858,3.61817858,3.53999676,3.61054226,19250.01723277
EGX:ABUK,3.63636038,3.63636038,3.45490607,3.5352696,61325.05489868
EGX:ABUK,3.61817858,3.61817858,3.56363317,3.57781494,18700.01674041
EGX:ABUK,3.63636038,3.63636038,3.56363317,3.60472394,12182.51090588
EGX:ABUK,3.56726946,3.56726946,3.56545146,3.56617863,9762.50873948
EGX:ABUK,3.63636038,3.67272398,3.63636038,3.66763308,15262.51366313
EGX:ABUK,3.67272398,3.67272398,3.63636038,3.63926947,114922.60287964
EGX:ABUK,3.63636038,3.67272398,3.63599667,3.64145129,137637.62321431
EGX:ABUK,3.63999674,3.67272398,3.63999674,3.66617854,54037.54837485
EGX:ABUK,3.70908759,3.70908759,3.67636035,3.69272397,24337.52178715
EGX:ABUK,3.69090579,3.69090579,3.63636038,3.64508765,349525.31289788
EGX:ABUK,3.69017851,3.69017851,3.63599667,3.63963311,170087.65226384
EGX:ABUK,3.63636038,3.63636038,3.63636038,3.63636038,3437.50307728
EGX:ABUK,3.63636038,3.63636038,3.61817858,3.6258149,23375.02092551
EGX:ABUK,3.61817858,3.61817858,3.52726957,3.58690584,82417.57378088
EGX:ABUK,3.56363317,3.63563322,3.53636047,3.57926952,27500.02461824
EGX:ABUK,3.56399688,3.56399688,3.56363317,3.56363317,60500.05416014
EGX:ABUK,3.63599667,3.67272398,3.58181498,3.64836037,79392.57107287
EGX:ABUK,3.65417855,3.65417855,3.63636038,3.63926947,31487.52818789
EGX:ABUK,3.67272398,3.67272398,3.61817858,3.63599667,152487.63650816
EGX:ABUK,3.67236035,3.67272398,3.63636038,3.64036038,36437.53261917
EGX:ABUK,3.63636038,3.70908759,3.63636038,3.64836037,3442700.58193329
EGX:ABUK,3.64545128,3.83054203,3.64545128,3.80545114,407825.36508855
EGX:ABUK,3.69999669,3.7818148,3.69999669,3.75236028,31625.02831098
EGX:ABUK,3.79963296,3.79963296,3.74545119,3.77236026,52937.54739012
EGX:ABUK,3.8181784,3.89090561,3.8181784,3.88872379,299750.26833885
EGX:ABUK,3.89090561,4.08290544,3.89090561,4.07090545,496815.44475319
EGX:ABUK,4.14545083,4.27417799,4.14545083,4.25672346,537900.48153284
EGX:ABUK,4.46945054,4.46945054,4.21854168,4.45817783,1116363.4993776
EGX:ABUK,4.36363246,4.39963243,4.36363246,4.36545064,446847.90002184
EGX:ABUK,4.36363246,4.38181426,4.36363246,4.36472337,438212.89229171
EGX:ABUK,4.36363246,4.38181426,4.36363246,4.36726882,236390.21161842
EGX:ABUK,4.41817786,4.58545044,4.41817786,4.57526863,412830.36956907
