symbol,open,high,low,close,volume
EGX:ADIB,1.17746209,1.17889801,1.16453872,1.17889801,76584.54665199
EGX:ADIB,1.1731543,1.17746209,1.12146084,1.14156385,153788.90094715
EGX:ADIB,1.11428119,1.11428119,1.08556261,1.09561411,114211.74548446
EGX:ADIB,1.14156385,1.15017943,1.12002491,1.14299978,139728.32081708
EGX:ADIB,1.19038545,1.19900103,1.1516155,1.18751373,176554.644605
EGX:ADIB,1.22053997,1.22915554,1.21623218,1.22053997,71382.34092778
EGX:ADIB,1.17889801,1.17889801,1.17889801,1.17889801,1204.79463224
EGX:ADIB,1.17889801,1.17889801,1.17746209,1.17889801,13928.26164445
EGX:ADIB,1.16597465,1.16597465,1.1487435,1.1516155,486945.95535147
EGX:ADIB,1.10566562,1.1487435,1.10566562,1.11571712,111565.37577201
EGX:ADIB,1.11284526,1.12002491,1.10566562,1.10853748,143119.8525275
EGX:ADIB,1.10710155,1.11428119,1.09274225,1.10279376,222852.18631113
EGX:ADIB,1.09130632,1.09130632,1.07694703,1.08556261,7618.75911951
EGX:ADIB,1.07838296,1.07838296,1.04966437,1.06833145,44264.01550605
EGX:ADIB,1.11284526,1.12146084,1.08412668,1.09417818,78785.21199181
EGX:ADIB,1.14156385,1.14156385,1.05540809,1.06689552,49048.37338092
EGX:ADIB,1.04966437,1.04966437,1.0266895,1.04104879,104482.85472581
EGX:ADIB,1.04104879,1.04248472,0.98935534,1.01089428,258000.15457089
EGX:ADIB,1.04104879,1.06115181,1.01950985,1.03386915,178414.06753453
EGX:ADIB,1.04104879,1.04104879,1.01950985,1.03243322,12563.29200329
EGX:ADIB,1.02094578,1.06258774,1.01950985,1.0266895,299924.22212067
EGX:ADIB,1.05540809,1.07694703,1.05540809,1.07407517,114908.15856668
EGX:ADIB,1.04104879,1.04104879,1.02238171,1.02956136,69641.30822223
EGX:ADIB,1.04248472,1.07981889,1.04104879,1.06833145,331492.62713781
EGX:ADIB,1.08987039,1.09848597,1.07694703,1.08699853,29249.34945334
EGX:ADIB,1.06258774,1.07694703,1.04104879,1.05540809,121106.23499846
EGX:ADIB,1.02812543,1.09848597,1.02812543,1.08556261,42641.37302447
EGX:ADIB,1.08843446,1.08987039,1.06976738,1.08556261,37606.30644
EGX:ADIB,1.05971588,1.09848597,1.05827995,1.08556261,24304.81656956
EGX:ADIB,1.09130632,1.09130632,1.06402366,1.06833145,22299.14689276
EGX:ADIB,1.06402366,1.07694703,1.05540809,1.06545959,162264.24815779
EGX:ADIB,1.0511003,1.06976738,1.04822844,1.05684402,277437.04369572
EGX:ADIB,1.0511003,1.08987039,1.04966437,1.06402366,193254.63031669
EGX:ADIB,1.0511003,1.0511003,1.04104879,1.04535658,194201.75210851
EGX:ADIB,1.04104879,1.05540809,1.03386915,1.03817694,75602.60420605
EGX:ADIB,1.016638,1.04248472,1.01520207,1.03674101,13231.84856222
EGX:ADIB,1.01950985,1.06115181,1.01520207,1.04535658,60239.73161223
EGX:ADIB,1.03386915,1.04104879,1.03386915,1.03817694,19694.56196525
EGX:ADIB,1.04104879,1.06976738,1.04104879,1.05684402,44250.0872444
EGX:ADIB,1.03674101,1.03674101,1.01950985,1.02812543,20230.80003856
EGX:ADIB,1.02094578,1.02094578,1.01950985,1.02094578,14450.57145611
EGX:ADIB,1.02238171,1.03099729,1.00515056,1.01233021,140048.6708349
EGX:ADIB,1.01089428,1.01089428,1.00515056,1.00658649,42926.90238818
EGX:ADIB,1.01950985,1.01950985,1.00515056,1.00515056,56757.66620112
EGX:ADIB,1.00515056,1.00515056,1.00515056,1.00515056,13914.3333828
EGX:ADIB,1.00515056,1.00515056,1.00515056,1.00515056,122840.30357319
EGX:ADIB,1.02238171,1.03386915,1.00802242,1.01807392,64536.60032954
EGX:ADIB,1.01950985,1.02812543,1.00515056,1.02381764,20767.03811187
EGX:ADIB,1.02956136,1.03243322,1.0266895,1.02956136,42655.30128612
EGX:ADIB,1.03386915,1.03386915,1.01233021,1.02094578,67900.27551667
EGX:ADIB,1.00945835,1.00945835,1.00515056,1.00658649,28267.4070074
EGX:ADIB,1.00945835,1.00945835,1.00802242,1.00802242,24165.53395311
EGX:ADIB,1.01233021,1.01233021,1.00658649,1.00802242,38407.18148456
EGX:ADIB,1.03243322,1.03243322,1.00658649,1.00802242,73123.37363334
EGX:ADIB,1.00658649,1.00658649,0.99509905,1.00084277,34472.44757
EGX:ADIB,1.02812543,1.02956136,1.01089428,1.02812543,39695.54568667
EGX:ADIB,1.03099729,1.04104879,1.01376614,1.03099729,56945.69773332
