symbol,open,high,low,close,volume
EGX:AMOC,5.06666157,6.05999403,5.06666157,5.74532755,58429888.81639658
EGX:AMOC,6.26666036,6.26666036,5.93666089,6.07399395,21265011.40567728
EGX:AMOC,5.93332736,5.99999396,5.69999426,5.8619941,22889813.04122683
EGX:AMOC,5.68332761,5.69932746,5.53332776,5.61532788,10002475.06864042
EGX:AMOC,5.50332799,5.85932737,5.47999428,5.58799438,11976987.05621361
EGX:AMOC,5.86666076,6.03332726,5.66666096,5.95066081,14967180.06618644
EGX:AMOC,5.99999396,6.13199403,5.93666089,6.01599381,7122697.16981309
EGX:AMOC,5.93332736,6.03266046,5.86999429,5.98132738,5184395.21868947
EGX:AMOC,5.96666066,6.09332733,5.93332736,5.9946605,7591612.64183039
EGX:AMOC,5.96732746,6.08332721,5.94132755,5.99999396,4300909.32935941
EGX:AMOC,5.93532729,6.03332726,5.93532729,5.99866083,5223830.25838536
EGX:AMOC,5.99999396,6.01999414,5.93332736,5.97332719,5822465.86098088
EGX:AMOC,5.95132714,5.99999396,5.73332756,5.90732745,3553728.57723613
EGX:AMOC,5.83332746,5.83332746,5.68399441,5.75332774,3604143.62798467
EGX:AMOC,5.73999409,5.86666076,5.73999409,5.7959943,2397887.41374919
EGX:AMOC,5.76866079,5.86532763,5.74999421,5.79932736,3135273.15601267
EGX:AMOC,5.76666086,5.89999406,5.73332756,5.83332746,3103893.12442506
EGX:AMOC,5.73466069,5.99999396,5.73466069,5.91999424,6075381.11556914
EGX:AMOC,5.79999416,5.92666083,5.73999409,5.81799394,2040542.05404003
EGX:AMOC,5.84999411,5.86666076,5.70399412,5.74932741,3348858.37101073
EGX:AMOC,5.73332756,5.76666086,5.68332761,5.73332756,1986826.99996966
EGX:AMOC,5.75932747,5.86599396,5.71666091,5.79399443,3400458.42295211
EGX:AMOC,5.76666086,5.92666083,5.76666086,5.85066091,2026907.04031482
EGX:AMOC,5.86666076,5.89999406,5.80466082,5.86066103,4611169.64167206
EGX:AMOC,5.83332746,5.86666076,5.73332756,5.78066078,2769782.78810462
EGX:AMOC,5.74066095,5.81666081,5.73332756,5.77266059,3093663.11412738
EGX:AMOC,5.79866103,5.79999416,5.66666096,5.69332774,2866322.88528332
EGX:AMOC,5.66732776,5.79999416,5.66732776,5.74132775,2897072.91623676
EGX:AMOC,5.71999444,5.72199437,5.57066093,5.65466097,1646116.65700555
EGX:AMOC,5.57066093,5.59999436,5.40066136,5.50799466,2316962.3322888
EGX:AMOC,5.43332786,5.55866087,5.40666109,5.50466113,1414396.42375251
EGX:AMOC,5.56666106,5.59932756,5.43666139,5.49866133,1408786.4181054
EGX:AMOC,5.44332799,5.48332781,5.43399466,5.45999464,788790.79400856
EGX:AMOC,5.43399466,5.47332769,5.40466123,5.44332799,1312486.32116828
EGX:AMOC,5.46532803,5.46666116,5.4019945,5.44199432,1601491.61208532
EGX:AMOC,5.40732796,5.46466123,5.2013279,5.3286613,1823731.83579564
EGX:AMOC,5.2013279,5.24932792,5.07666169,5.18532805,2707007.72491431
EGX:AMOC,5.19999477,5.23332807,5.08666175,5.19866163,891735.89763464
EGX:AMOC,5.19999477,5.21666142,5.13332817,5.16066174,2071157.08485758
EGX:AMOC,5.13732803,5.23332807,5.13732803,5.18932784,2025617.03901629
EGX:AMOC,5.14999482,5.19999477,5.08332822,5.14666129,1851211.86345744
EGX:AMOC,5.07466176,5.13332817,5.06666157,5.08132829,2373767.38946962
EGX:AMOC,5.0346614,5.19999477,5.03332827,5.1346613,1757776.76940428
EGX:AMOC,5.16666147,5.48332781,5.16666147,5.38066118,3155073.17594366
EGX:AMOC,5.48932754,5.53266096,5.36666126,5.44132806,1062286.06931298
EGX:AMOC,5.38666144,5.46532803,5.3346611,5.40866102,853455.85910138
EGX:AMOC,5.46666116,5.83332746,5.46666116,5.76599406,2563502.58045989
EGX:AMOC,5.83332746,5.93332736,5.67666109,5.81799394,3479478.5024949
EGX:AMOC,5.86666076,5.93332736,5.66666096,5.73932729,2427362.4434192
EGX:AMOC,5.76666086,5.79932736,5.58332771,5.64466085,2485682.50212504
EGX:AMOC,5.56666106,5.59999436,5.43332786,5.53199463,1822576.83463299
EGX:AMOC,5.46666116,5.58599444,5.434661,5.49666093,723285.72807019
EGX:AMOC,5.48332781,5.63332766,5.31066159,5.38266112,1704661.71593788
EGX:AMOC,5.46466123,5.46532803,5.28332802,5.33732783,2220812.23550268
EGX:AMOC,5.28732788,5.36466133,5.2013279,5.31266145,3911838.93771535
EGX:AMOC,5.23332807,5.26666137,5.19132831,5.21932815,1277761.28621355
EGX:AMOC,5.23332807,5.29932787,5.20066156,5.24199452,1225516.2336229
EGX:AMOC,5.19999477,5.26599457,5.1346613,5.17599472,1341586.35046081
EGX:AMOC,5.18666165,5.2619947,5.13732803,5.1626616,1212796.22081874
EGX:AMOC,5.18266132,5.19999477,5.13999469,5.16732827,1881946.89439578
EGX:AMOC,5.19999477,5.19999477,5.1353281,5.14532815,1193566.20146152
EGX:AMOC,5.16666147,5.23332807,5.16666147,5.2026615,2193377.20788617
EGX:AMOC,5.19999477,5.25666124,5.18732798,5.20666129,2041247.0547497
EGX:AMOC,5.26666137,5.99999396,5.26666137,5.81199415,18316278.43743875
EGX:AMOC,6.06599376,6.19999376,5.79999416,6.07799375,10435615.50464604
