symbol,open,high,low,close,volume
EGX:BTFH,0.18593723,0.18593723,0.18593723,0.18593723,369043149.3642307
EGX:BTFH,0.18593723,0.18593723,0.18593723,0.18593723,390327913.3375523
EGX:BTFH,0.18597795,0.18597795,0.18597795,0.18597795,348630545.57247454
EGX:BTFH,0.19261237,0.19261237,0.19261237,0.19261237,18630999.28195826
EGX:BTFH,0.20224299,0.20224299,0.20224299,0.20224299,5373.48654707
EGX:BTFH,0.21230164,0.21230164,0.21230164,0.21230164,4672.59699745
EGX:BTFH,0.22278831,0.22278831,0.22278831,0.22278831,4672.59699745
EGX:BTFH,0.23391703,0.23391703,0.23391703,0.23391703,42287.00282691
EGX:BTFH,0.24547377,0.24547377,0.24547377,0.24547377,4952.9528173
EGX:BTFH,0.25767255,0.25767255,0.25767255,0.25767255,6074.37609668
EGX:BTFH,0.27051338,0.27051338,0.27051338,0.27051338,6494.90982645
EGX:BTFH,0.28399624,0.28399624,0.28399624,0.28399624,6074.37609668
EGX:BTFH,0.29812115,0.29812115,0.29812115,0.29812115,4672.59699745
EGX:BTFH,0.3128881,0.3128881,0.3128881,0.3128881,14765.40651194
EGX:BTFH,0.3285111,0.3285111,0.3285111,0.3285111,105647.41811232
EGX:BTFH,0.34477617,0.34477617,0.34477617,0.34477617,168120.03996821
EGX:BTFH,0.36189725,0.36189725,0.36189725,0.36189725,330399.33368962
EGX:BTFH,0.3798744,0.3798744,0.3798744,0.3798744,846674.57593775
EGX:BTFH,0.39870759,0.39870759,0.36104122,0.36489342,627576.50272737
EGX:BTFH,0.36596351,0.38308461,0.35376475,0.37645018,580289.82111319
EGX:BTFH,0.35825902,0.37452406,0.35783097,0.3642514,263768.10050599
EGX:BTFH,0.34713028,0.35312269,0.34670229,0.34734431,203117.79147911
EGX:BTFH,0.33386145,0.33386145,0.3300092,0.33065124,137607.98157487
EGX:BTFH,0.31417218,0.34713028,0.31417218,0.31995055,232928.96032283
EGX:BTFH,0.33578757,0.33578757,0.33578757,0.33578757,20793.05663865
EGX:BTFH,0.32102062,0.32102062,0.3190945,0.32037858,229424.51257474
EGX:BTFH,0.3362156,0.3362156,0.32102062,0.3315073,242881.5919274
EGX:BTFH,0.32123464,0.32337477,0.31502824,0.3190945,128402.9654899
EGX:BTFH,0.31460021,0.31460021,0.30368551,0.30882184,72425.25346046
EGX:BTFH,0.29341285,0.29640904,0.29341285,0.29362686,176624.16650357
EGX:BTFH,0.29961925,0.3081798,0.28891856,0.30411354,157933.77851377
EGX:BTFH,0.29961925,0.29961925,0.29319884,0.29640904,50931.30727219
EGX:BTFH,0.31010592,0.31010592,0.29961925,0.30924987,74761.55195918
EGX:BTFH,0.29384088,0.29384088,0.29384088,0.29384088,123823.8204324
EGX:BTFH,0.27928794,0.29705108,0.27928794,0.28164209,88779.34295153
EGX:BTFH,0.28998863,0.29555299,0.28891856,0.29405489,2477364.20207746
EGX:BTFH,0.30860783,0.30860783,0.30068932,0.30839381,987319.74556096
EGX:BTFH,0.29683707,0.30710973,0.29662306,0.30175939,3249323.952026
EGX:BTFH,0.29277081,0.30475558,0.28742046,0.29148673,94012.65158867
EGX:BTFH,0.30389952,0.30603966,0.29640904,0.30454156,906063.28377533
EGX:BTFH,0.31567028,0.31973654,0.31567028,0.31952253,1466120.75988956
EGX:BTFH,0.33535954,0.33535954,0.33535954,0.33535954,647154.68414668
EGX:BTFH,0.35205264,0.35205264,0.34263601,0.35183862,1527845.76622586
EGX:BTFH,0.36382337,0.36938773,0.33450349,0.35034053,2526847.00428045
EGX:BTFH,0.3608272,0.36275333,0.342422,0.35098255,279281.12253752
EGX:BTFH,0.33428948,0.35740298,0.33386145,0.34477617,1315382.78075186
EGX:BTFH,0.33921179,0.33921179,0.3362156,0.33707165,165363.20773972
EGX:BTFH,0.35098255,0.35205264,0.342422,0.34734431,83873.11610421
EGX:BTFH,0.3377137,0.342422,0.33172131,0.33728567,347314.13482038
EGX:BTFH,0.34969847,0.34969847,0.33172131,0.33899778,347594.49064023
EGX:BTFH,0.34220798,0.34777234,0.32209069,0.32829709,921109.04610711
EGX:BTFH,0.31374416,0.32102062,0.31203205,0.31674035,514966.91508885
EGX:BTFH,0.3300092,0.33022321,0.32102062,0.32722702,66070.52154393
EGX:BTFH,0.31481422,0.32037858,0.31096198,0.31481422,688226.81175426
EGX:BTFH,0.32080661,0.32102062,0.31053395,0.3175964,231900.98898339
EGX:BTFH,0.30518361,0.32102062,0.30518361,0.31674035,146252.28602015
EGX:BTFH,0.31139,0.32102062,0.31031994,0.31331613,506416.06258352
EGX:BTFH,0.31567028,0.32102062,0.3081798,0.31567028,481931.65431689
EGX:BTFH,0.32080661,0.33129328,0.32080661,0.32958117,881952.68326849
EGX:BTFH,0.34156594,0.342422,0.31823844,0.32465886,214051.66845314
EGX:BTFH,0.31674035,0.32102062,0.31567028,0.3175964,213537.68278342
EGX:BTFH,0.31353014,0.32102062,0.31139,0.31374416,168914.38145778
EGX:BTFH,0.31031994,0.31031994,0.30411354,0.30839381,73640.1286798
EGX:BTFH,0.32316076,0.32316076,0.30496959,0.30646769,222882.87677832
EGX:BTFH,0.29961925,0.29961925,0.29127271,0.29277081,533563.8511387
EGX:BTFH,0.29961925,0.30732374,0.28656441,0.30710973,15659180.86561074
EGX:BTFH,0.32230471,0.32230471,0.32102062,0.32209069,963582.95281392
EGX:BTFH,0.3066817,0.3205926,0.30603966,0.30839381,2024916.63481448
EGX:BTFH,0.29983326,0.31096198,0.29961925,0.30389952,325633.28475222
EGX:BTFH,0.30175939,0.30175939,0.29148673,0.295767,310540.79645046
EGX:BTFH,0.29961925,0.31053395,0.29940523,0.30860783,1413647.49560821
EGX:BTFH,0.31567028,0.32401682,0.31567028,0.32294675,2769308.06247807
EGX:BTFH,0.31674035,0.3253009,0.30732374,0.30989191,530386.48518043
EGX:BTFH,0.31031994,0.31031994,0.29448292,0.29619503,877840.79791074
EGX:BTFH,0.30775177,0.30796578,0.30282945,0.30582565,113544.10703801
EGX:BTFH,0.30582565,0.31246007,0.29747911,0.30625367,224985.54542717
EGX:BTFH,0.31031994,0.31995055,0.30068932,0.31074796,574729.43068622
EGX:BTFH,0.30261544,0.30261544,0.29555299,0.29833517,93451.93994898
EGX:BTFH,0.29747911,0.29747911,0.2910587,0.29640904,42987.89237653
EGX:BTFH,0.2910587,0.31117599,0.28592237,0.31031994,1178522.41469658
EGX:BTFH,0.31353014,0.32572893,0.31031994,0.32358879,1520509.78893986
EGX:BTFH,0.33856975,0.33942581,0.31074796,0.32722702,818311.91216324
EGX:BTFH,0.33921179,0.34349205,0.33921179,0.34349205,4012779.57543919
EGX:BTFH,0.36061317,0.36061317,0.36061317,0.36061317,1841517.20266461
