symbol,open,high,low,close,volume
EGX:CCAP,13.85,13.9,12.78,13.38,19534606.0
EGX:CCAP,13.5,13.5,11.6,12.1,11589074.0
EGX:CCAP,12.0,12.14,9.6,10.42,22556478.0
EGX:CCAP,9.51,10.2,8.7,9.46,8031630.0
EGX:CCAP,9.97,10.19,8.97,9.55,5694892.0
EGX:CCAP,9.94,10.09,9.41,9.76,5767035.0
EGX:CCAP,9.8,9.84,8.92,9.23,6172512.0
EGX:CCAP,9.0,9.24,8.84,9.01,3998642.0
EGX:CCAP,8.88,8.98,8.28,8.55,5393601.0
EGX:CCAP,8.53,8.91,8.26,8.69,4867510.0
EGX:CCAP,8.9,9.0,8.55,8.78,2271013.0
EGX:CCAP,8.6,8.7,8.4,8.520001,2011355.0
EGX:CCAP,8.6,8.67,8.08,8.28,4517026.0
EGX:CCAP,8.17,8.36,8.07,8.21,2325146.0
EGX:CCAP,8.29,8.43,8.15,8.270001,4088855.0
EGX:CCAP,8.29,8.41,8.08,8.23,3672314.0
EGX:CCAP,8.2,8.25,8.0,8.15,7784458.0
EGX:CCAP,8.2,8.24,8.11,8.18,3206094.0
EGX:CCAP,8.15,8.3,8.08,8.16,25782771.0
EGX:CCAP,8.3,8.53,8.2,8.39,3194839.0
EGX:CCAP,8.4,8.65,8.34,8.48,2316776.0
EGX:CCAP,8.58,8.73,8.42,8.55,2299256.0
EGX:CCAP,8.55,8.64,8.38,8.47,1484618.0
EGX:CCAP,8.35,8.520001,8.35,8.42,5248911.0
EGX:CCAP,8.57,8.57,8.39,8.45,1731297.0
EGX:CCAP,8.5,8.5,8.4,8.44,1948915.0
EGX:CCAP,8.45,8.6,8.41,8.48,4653422.0
EGX:CCAP,8.41,8.5,8.41,8.46,1767044.0
EGX:CCAP,8.45,8.45,8.28,8.35,2689933.0
EGX:CCAP,8.35,8.4,8.17,8.24,1771201.0
EGX:CCAP,8.28,8.33,8.15,8.23,1633108.0
EGX:CCAP,8.32,8.33,8.2,8.25,2117921.0
EGX:CCAP,8.28,8.3,8.18,8.24,1203431.0
EGX:CCAP,8.2,8.25,8.14,8.24,14629050.0
EGX:CCAP,8.15,8.16,7.8,7.99,2856447.0
EGX:CCAP,7.9,8.0,7.67,7.75,1751141.0
EGX:CCAP,7.61,7.8,7.5,7.58,2936388.0
EGX:CCAP,7.63,7.65,7.3,7.4,5737470.0
EGX:CCAP,7.55,8.06,7.28,7.68,5025813.0
EGX:CCAP,8.09,8.1,7.78,7.92,1869459.0
EGX:CCAP,7.88,8.05,7.8,7.9,1549855.0
EGX:CCAP,7.82,8.05,7.81,7.98,2797502.0
EGX:CCAP,8.0,8.0,7.75,7.82,998183.0
EGX:CCAP,7.66,7.75,7.56,7.64,583050.0
EGX:CCAP,7.74,7.82,7.56,7.67,907440.0
EGX:CCAP,7.55,7.7,7.45,7.56,719214.0
EGX:CCAP,7.62,7.65,7.4,7.46,846284.0
EGX:CCAP,7.5,7.82,7.38,7.47,12250788.0
EGX:CCAP,7.7,7.8,7.55,7.66,477153.0
EGX:CCAP,7.61,7.61,7.43,7.49,528856.0
EGX:CCAP,7.42,7.82,7.42,7.66,1537785.0
EGX:CCAP,7.75,7.82,7.56,7.7,2302250.0
EGX:CCAP,7.7,7.73,7.57,7.65,1033051.0
EGX:CCAP,7.68,7.68,7.46,7.51,820512.0
EGX:CCAP,7.51,7.67,7.47,7.56,720673.0
EGX:CCAP,7.51,7.65,7.43,7.52,834539.0
EGX:CCAP,7.49,7.61,7.45,7.56,679472.0
EGX:CCAP,7.61,7.64,7.5,7.55,754288.0
EGX:CCAP,7.51,7.51,7.38,7.46,849389.0
EGX:CCAP,7.45,7.51,7.31,7.39,649321.0
EGX:CCAP,7.45,7.5,7.3,7.42,598832.0
EGX:CCAP,7.45,7.59,7.41,7.5,491119.0
EGX:CCAP,7.54,7.6,7.43,7.55,1018523.0
EGX:CCAP,7.57,7.63,7.46,7.57,897213.0
EGX:CCAP,7.55,7.69,7.5,7.56,888351.0
EGX:CCAP,7.7,8.2,7.5,7.84,3623494.0
EGX:CCAP,8.15,8.28,8.0,8.11,2078541.0
EGX:CCAP,8.19,8.2,8.0,8.08,1968797.0
EGX:CCAP,8.15,8.21,7.86,8.0,1939601.0
EGX:CCAP,7.85,7.94,7.6,7.75,2314128.0
EGX:CCAP,7.84,8.04,7.71,7.91,1536284.0
EGX:CCAP,7.99,8.23,7.79,8.04,1341954.0
EGX:CCAP,8.06,8.44,8.06,8.32,4989095.0
EGX:CCAP,8.4,8.4,8.25,8.33,1223480.0
EGX:CCAP,8.26,8.35,8.2,8.270001,1092213.0
EGX:CCAP,8.39,8.6,8.36,8.48,12845585.0
EGX:CCAP,8.59,8.6,8.21,8.44,1774283.0
EGX:CCAP,8.33,8.45,8.28,8.39,705165.0
EGX:CCAP,8.31,8.53,8.23,8.31,836426.0
EGX:CCAP,8.26,8.42,8.15,8.28,1385022.0
EGX:CCAP,8.26,8.3,8.19,8.23,354841.0
EGX:CCAP,8.19,8.23,8.13,8.18,8121201.0
EGX:CCAP,8.16,8.35,8.14,8.22,1045860.0
EGX:CCAP,8.3,8.45,8.2,8.33,1580462.0
EGX:CCAP,8.270001,8.44,8.270001,8.37,1452334.0
EGX:CCAP,8.3,8.35,8.16,8.25,1571706.0
EGX:CCAP,8.3,8.39,8.270001,8.31,748102.0
EGX:CCAP,8.25,8.37,8.14,8.25,1394027.0
EGX:CCAP,8.21,8.270001,8.05,8.14,1208922.0
EGX:CCAP,8.2,8.22,8.07,8.13,3174203.0
EGX:CCAP,8.2,8.2,8.06,8.12,1043287.0
EGX:CCAP,8.06,8.07,7.75,7.92,1191215.0
EGX:CCAP,7.82,7.92,7.71,7.79,1438896.0
EGX:CCAP,7.88,7.95,7.65,7.79,3301083.0
EGX:CCAP,7.82,7.86,7.65,7.76,1695748.0
EGX:CCAP,7.67,7.77,7.59,7.64,738567.0
EGX:CCAP,7.65,8.0,7.64,7.71,4879281.0
EGX:CCAP,7.9,8.05,7.75,7.81,1375870.0
EGX:CCAP,7.75,7.79,7.38,7.59,1221295.0
EGX:CCAP,7.6,8.020001,7.53,7.93,2570663.0
EGX:CCAP,7.68,7.79,7.5,7.62,801437.0
EGX:CCAP,7.55,7.78,7.55,7.67,592385.0
EGX:CCAP,7.59,7.85,7.55,7.69,799326.0
EGX:CCAP,7.51,7.63,7.45,7.52,739731.0
EGX:CCAP,7.46,7.64,7.41,7.5,463537.0
EGX:CCAP,7.28,7.45,7.02,7.3,1054310.0
EGX:CCAP,7.4,7.46,7.19,7.33,635247.0
EGX:CCAP,7.26,7.37,7.1,7.21,678169.0
EGX:CCAP,7.08,7.3,7.07,7.18,728953.0
