symbol,open,high,low,close,volume
EGX:COMI,2.09700912,2.10560346,2.07337484,2.10302513,5940495.55528319
EGX:COMI,2.10560346,2.10560346,2.04114621,2.08712572,7827699.90026127
EGX:COMI,2.04114621,2.04544328,2.00676906,2.0347004,1722676.68986569
EGX:COMI,2.01966046,2.08411771,2.01966046,2.05274852,4354979.54423398
EGX:COMI,2.07337484,2.07337484,2.02911424,2.0664994,1074735.60057368
EGX:COMI,2.06177253,2.07982065,2.04114621,2.06521029,4576824.25939473
EGX:COMI,2.04458402,2.06220233,1.99817471,2.01278502,1702593.61117233
EGX:COMI,2.01278502,2.08411771,2.01278502,2.05274852,5585423.00058659
EGX:COMI,2.1013064,2.1013064,1.99817471,2.03684915,1618933.50931532
EGX:COMI,2.00547978,2.04114621,1.99774508,2.00848796,829689.46078109
EGX:COMI,2.00891759,2.02009009,1.99817471,2.01450393,3156045.34460304
EGX:COMI,1.99860434,2.01966046,1.99817471,2.00934722,1234283.21067984
EGX:COMI,2.04544328,2.04544328,2.00462052,2.0347004,2871089.03104557
EGX:COMI,2.01966046,2.04114621,2.0136445,2.024817,1307866.86633266
EGX:COMI,2.0347004,2.0347004,2.01966046,2.02309827,131319.59799141
EGX:COMI,2.02825481,2.04114621,2.01321465,2.02610627,2098832.98650456
EGX:COMI,2.01966046,2.02009009,2.00934722,2.01837136,5664498.66848926
EGX:COMI,2.01966046,2.04544328,2.01579303,2.02739533,5754721.2595601
EGX:COMI,2.02009009,2.05188909,2.02009009,2.04200564,3763238.49554967
EGX:COMI,1.99817471,2.02009009,1.93500657,2.00547978,3421290.9192807
EGX:COMI,2.01966046,2.06177253,2.0153634,2.02567643,14191708.72221922
EGX:COMI,2.0153634,2.03040334,1.99946381,2.01622266,1997765.99836408
EGX:COMI,2.01321465,2.03255187,1.99946381,2.02009009,1314522.44049987
EGX:COMI,2.04114621,2.07337484,2.04071658,2.05876453,16987422.21225927
EGX:COMI,2.04759202,2.06220233,2.03770841,2.04243531,539985.81460086
EGX:COMI,2.04114621,2.07982065,2.04114621,2.06263196,2248327.42164487
EGX:COMI,2.0793908,2.10990052,2.0793908,2.10388456,4381741.46833288
EGX:COMI,2.09486059,2.1124789,2.08454734,2.10560346,7430599.48911022
EGX:COMI,2.10560346,2.12279215,2.0677885,2.10603309,5756722.58605793
EGX:COMI,2.10560346,2.10560346,2.08411771,2.09786859,99484.54393289
EGX:COMI,2.1013064,2.11634634,2.07337484,2.10345493,9930721.70966826
EGX:COMI,2.10560346,2.11634634,2.10560346,2.10560346,4957937.32980148
EGX:COMI,2.10560346,2.10560346,2.09486059,2.10517383,4689945.74899888
EGX:COMI,2.08411771,2.08497714,2.08368808,2.08411771,2027878.98078494
EGX:COMI,2.06349139,2.0677885,2.05231872,2.06263196,166459.16789519
EGX:COMI,2.05188909,2.0583349,2.03040334,2.04974055,327612.49344729
EGX:COMI,2.0583349,2.06306159,2.04114621,2.06134286,5747041.75090563
EGX:COMI,2.06263196,2.06263196,2.04114621,2.05059998,1505462.95113597
EGX:COMI,2.03169244,2.05403762,2.02395753,2.04372454,1117810.66275374
EGX:COMI,1.99860434,2.04071658,1.99817471,2.01407412,54780.49506854
EGX:COMI,2.01966046,2.02610627,2.01966046,2.01966046,1857463.70237078
EGX:COMI,2.01966046,2.02009009,2.01966046,2.01966046,1133472.20616119
EGX:COMI,2.01966046,2.04544328,2.01966046,2.04114621,2719942.33798262
EGX:COMI,2.04114621,2.05188909,2.04028678,2.04114621,5641553.22747925
EGX:COMI,2.03255187,2.06263196,2.01966046,2.05446742,861454.70112458
EGX:COMI,2.06220233,2.14900459,2.04759202,2.08497714,16077307.35175137
EGX:COMI,2.14857496,2.14900459,2.10517383,2.12150287,11630034.07623369
EGX:COMI,2.10560346,2.1141978,2.09056352,2.10560346,11499924.58263632
