symbol,open,high,low,close,volume
EGX:EAST,0.66073943,0.66073943,0.6566098,0.65892238,33296.03046721
EGX:EAST,0.66090458,0.66090458,0.66073943,0.66073943,90807.35581966
EGX:EAST,0.6566098,0.6566098,0.65248018,0.65355386,2009869.47547527
EGX:EAST,0.65248018,0.66073943,0.65248018,0.65917015,79547.24369803
EGX:EAST,0.65338871,0.65338871,0.65248018,0.6525628,366861.71751145
EGX:EAST,0.65991352,0.66073943,0.65991352,0.66073943,799104.73121306
EGX:EAST,0.66073943,0.66073943,0.65371909,0.66065681,452826.01435407
EGX:EAST,0.66073943,0.6771753,0.66073943,0.66181311,2830162.58971292
EGX:EAST,0.67725791,0.68551715,0.67725791,0.68237866,1327119.23618581
EGX:EAST,0.66239124,0.68237866,0.66239124,0.68237866,9686.1179541
EGX:EAST,0.67725791,0.70228341,0.67725791,0.70079673,1992555.53963232
EGX:EAST,0.70203564,0.70946897,0.70203564,0.70211825,1059176.99828058
EGX:EAST,0.71021227,0.71021227,0.67742307,0.70013598,44192.91316557
EGX:EAST,0.67725791,0.70203564,0.67725791,0.70203564,7873360.97898831
EGX:EAST,0.67725791,0.70203564,0.67725791,0.69551083,171565.36426195
EGX:EAST,0.70203564,0.71037749,0.70203564,0.70600009,345673.33448686
EGX:EAST,0.70195302,0.70203564,0.69385901,0.7010445,36322.94232787
EGX:EAST,0.6946023,0.71847151,0.6946023,0.70434822,12107.64744262
EGX:EAST,0.71029488,0.71029488,0.70946897,0.70963413,145291.76931146
EGX:EAST,0.70203564,0.71855412,0.70203564,0.71715008,311166.53927539
EGX:EAST,0.71153379,0.72681336,0.71153379,0.72367489,227987.00134458
EGX:EAST,0.72681336,0.72681336,0.72367489,0.72367489,10896.88269836
EGX:EAST,0.70228341,0.72673075,0.70228341,0.72350966,14287.02398229
EGX:EAST,0.70203564,0.70203564,0.66156533,0.69650196,941732.81808715
EGX:EAST,0.6937764,0.69418938,0.6937764,0.6937764,197354.65331474
EGX:EAST,0.70203564,0.70616527,0.70203564,0.70401784,151103.44008392
EGX:EAST,0.66156533,0.70203564,0.66156533,0.69823639,2468991.4664995
EGX:EAST,0.69171158,0.69171158,0.69171158,0.69171158,262009.49065834
EGX:EAST,0.69171158,0.69171158,0.68138752,0.69154642,1010383.17908682
EGX:EAST,0.68551715,0.68551715,0.67808382,0.685352,941248.51218944
EGX:EAST,0.67808382,0.685352,0.67808382,0.685352,1816.1471164
EGX:EAST,0.67321089,0.68469124,0.67312828,0.67742307,660230.01504618
EGX:EAST,0.67312828,0.67725791,0.67312828,0.67362382,23004.53014098
EGX:EAST,0.67725791,0.67725791,0.6751931,0.67585385,2691651.10296932
EGX:EAST,0.67312828,0.6751931,0.67312828,0.6751931,1910828.91939462
EGX:EAST,0.67725791,0.67725791,0.6751931,0.6751931,3039019.50809815
EGX:EAST,0.67725791,0.67725791,0.67725791,0.67725791,487090.65661669
EGX:EAST,0.67312828,0.67312828,0.67312828,0.67312828,13923.79455901
EGX:EAST,0.67312828,0.67312828,0.67312828,0.67312828,18161.47116393
EGX:EAST,0.67312828,0.67725791,0.67312828,0.67560609,32690.64809508
EGX:EAST,0.67362382,0.67362382,0.67362382,0.67362382,12713.02981475
EGX:EAST,0.67725791,0.67725791,0.67725791,0.67725791,12107.64744262
EGX:EAST,0.67725791,0.67816643,0.67725791,0.67767089,34506.79521147
EGX:EAST,0.68551715,0.69790603,0.68551715,0.69782341,1477132.9879999
EGX:EAST,0.68551715,0.68551715,0.68551715,0.68551715,33296.03046721
EGX:EAST,0.68551715,0.68551715,0.68551715,0.68551715,16708.55347082
EGX:EAST,0.68551715,0.68551715,0.68551715,0.68551715,38744.47181639
EGX:EAST,0.68551715,0.68559977,0.68551715,0.68559977,30269.11860655
EGX:EAST,0.67725791,0.69790603,0.67725791,0.69699749,164179.69932196
EGX:EAST,0.68551715,0.68551715,0.67932273,0.68130493,16950.70641967
EGX:EAST,0.67725791,0.67725791,0.67725791,0.67725791,18161.47116393
EGX:EAST,0.67725791,0.67725791,0.67725791,0.67725791,10896.88269836
EGX:EAST,0.67725791,0.67734052,0.67725791,0.67734052,27605.43616918
EGX:EAST,0.67725791,0.68138752,0.67725791,0.67833159,123498.00391475
EGX:EAST,0.67725791,0.67725791,0.67725791,0.67725791,18161.47116393
EGX:EAST,0.67312828,0.67725791,0.67312828,0.67544087,54484.4134918
EGX:EAST,0.66908128,0.67725791,0.66908128,0.67626678,849109.31515109
