symbol,open,high,low,close,volume
EGX:EGAL,6.17939098,6.36120908,6.17939098,6.2509061,4174.50199636
EGX:EGAL,6.03636063,6.03636063,5.9393911,5.99999713,3258.75155843
EGX:EGAL,6.17454238,6.17817898,6.17454238,6.17575474,4125.00197269
EGX:EGAL,5.94181534,5.94181534,5.94060298,5.94181534,825.00039454
EGX:EGAL,6.23030029,6.23878502,5.96969411,6.21090636,9330.75446222
EGX:EGAL,6.11757295,6.21090636,6.11757295,6.21090636,41.25001973
EGX:EGAL,5.90545184,6.30181541,5.90181524,6.17211802,18562.5088771
EGX:EGAL,6.09090618,6.30060305,6.09090618,6.17090614,4331.25207132
EGX:EGAL,6.18060335,6.30181541,6.06181504,6.18908807,5981.2528604
EGX:EGAL,5.99999713,6.36363332,5.99999713,6.18545147,7012.50335357
EGX:EGAL,6.24242126,6.42302747,6.24242126,6.31757262,1650.00078908
EGX:EGAL,6.42423935,6.48484538,6.42302747,6.44605752,3300.00157815
EGX:EGAL,6.45090613,6.45090613,6.24363314,6.40969403,2103.75100607
EGX:EGAL,6.24242126,6.54423954,6.24242126,6.33817891,9075.00433992
EGX:EGAL,6.18181523,6.65454251,6.16120942,6.51272416,9075.00433992
EGX:EGAL,6.54545142,6.83757249,6.54545142,6.75393629,3135.00149924
EGX:EGAL,7.06060268,7.0860571,7.06060268,7.08242086,3300.00157815
EGX:EGAL,7.24848126,7.27272379,7.24848126,7.26787519,3300.00157815
EGX:EGAL,6.96969364,6.96969364,6.9090876,6.95272407,4125.00197269
EGX:EGAL,6.9090876,6.9090876,6.9090876,6.9090876,825.00039454
EGX:EGAL,6.66666348,6.9090876,6.66666348,6.9090876,412.50019727
EGX:EGAL,6.57575443,6.9090876,6.57575443,6.9090876,206.25009863
EGX:EGAL,6.66787536,6.66787536,6.66666348,6.66787536,1237.50059181
EGX:EGAL,6.37575428,6.66787536,6.37575428,6.66787536,742.50035508
EGX:EGAL,6.39393634,6.39393634,6.33454218,6.36605756,1980.00094689
EGX:EGAL,6.07272413,6.54545142,6.0484822,6.04969408,13266.00634417
EGX:EGAL,5.81817904,5.81817904,5.7478758,5.76120924,28701.76372598
EGX:EGAL,5.53090657,5.53090657,5.47393678,5.49696683,13406.25641124
