Company,Date,Price,Open,High,Low,Vol.,Change %
Abu Dhabi Islamic Bank,2018-01-02,5.4,5.39,5.45,5.38,282800.0,0.26
Abu Qir Fertilizers and Chemical Industries,2018-01-02,21.75,21.75,22.17,21.42,286920.0,1.16
Alexandria Mineral Oils,2018-01-02,9.21,9.25,9.37,9.1,1890000.0,-0.43
Arabian Cement Co SAE,2018-01-02,7.71,7.7,7.81,7.68,197770.0,1.05
Beltone Financial Hld,2018-01-02,4.158,4.154,4.2,4.122,292830.0,0.1
Commercial Int Bank,2018-01-02,27.91,28.03,28.21,27.81,997300.0,-0.48
EFG Hermes Holdings,2018-01-02,10.4,10.57,10.57,10.3,1240000.0,-0.57
Eastern Tobacco,2018-01-02,14.79,15.52,15.52,14.21,92500.0,-0.34
Edita Food,2018-01-02,8.74,8.44,9.0,8.44,146670.0,4.05
Egypt Aluminum,2018-01-02,43.1,43.42,44.0,42.67,224460.0,-0.8
Emaar Misr for Development SAE,2018-01-02,3.57,3.56,3.62,3.54,1880000.0,0.56
GB AUTO,2018-01-02,4.82,4.53,4.93,4.53,4930000.0,7.35
Ibnsina Pharma,2018-01-02,5.257,5.283,5.354,5.186,1540000.0,-1.68
Juhayna Food,2018-01-02,8.42,8.08,8.42,8.08,614520.0,0.0
Kima,2018-01-02,6.54,6.7,6.7,6.45,2010000.0,-1.65
Misr Cement,2018-01-02,24.0,24.19,24.37,23.77,6570.0,-0.58
Misr El Gadida for Housing Dev,2018-01-02,3.85,3.89,3.92,3.8,5180000.0,-1.45
Orascom Construction Ltd,2018-01-02,143.18,142.9,144.0,142.88,113770.0,1.97
Orascom Hotels,2018-01-02,4.74,4.8,4.82,4.62,343120.0,-0.21
Orascom Invest,2018-01-02,0.23,0.23,0.234,0.227,12210000.0,0.0
Oriental Weavers,2018-01-02,11.05,11.07,11.13,11.0,284630.0,-0.09
Palm Hills Develop,2018-01-02,3.854,3.874,3.884,3.834,4230000.0,0.0
Qalaa Holdings,2018-01-02,1.29,1.27,1.31,1.27,18410000.0,1.57
Raya Holding,2018-01-02,0.26,0.26,0.27,0.26,7620000.0,0.0
T M G Holding,2018-01-02,9.99,9.84,10.11,9.75,3330000.0,1.94
Telecom Egypt,2018-01-02,13.43,13.43,13.53,13.38,155340.0,0.07
Valmore Holding,2018-01-02,0.762,0.744,0.779,0.744,1710000.0,3.53
Abu Dhabi Islamic Bank,2018-01-03,5.35,5.47,5.48,5.3,663660.0,-0.9
Abu Qir Fertilizers and Chemical Industries,2018-01-03,21.56,21.98,21.98,21.45,280200.0,-0.87
Alexandria Mineral Oils,2018-01-03,9.03,9.19,9.19,8.95,2550000.0,-1.95
Arabian Cement Co SAE,2018-01-03,7.72,7.7,7.8,7.7,109000.0,0.13
Beltone Financial Hld,2018-01-03,4.235,4.193,4.323,4.138,2110000.0,1.85
Commercial Int Bank,2018-01-03,27.32,27.81,27.81,27.19,1230000.0,-2.12
EFG Hermes Holdings,2018-01-03,10.4,10.31,10.51,10.31,3360000.0,0.0
Eastern Tobacco,2018-01-03,14.8,14.78,14.8,14.54,2040000.0,0.07
Edita Food,2018-01-03,8.89,8.7,9.14,8.26,53030.0,1.66
Egypt Aluminum,2018-01-03,45.1,42.7,46.66,42.7,913270.0,4.63
Emaar Misr for Development SAE,2018-01-03,3.54,3.6,3.6,3.52,1540000.0,-0.84
GB AUTO,2018-01-03,4.85,4.99,5.14,4.69,6940000.0,0.62
Ibnsina Pharma,2018-01-03,5.393,5.347,5.67,5.283,9450000.0,2.59
Juhayna Food,2018-01-03,8.58,8.48,8.6,8.48,893970.0,1.8
Kima,2018-01-03,6.55,6.54,6.63,6.46,1720000.0,0.15
Misr Cement,2018-01-03,23.81,23.91,24.06,23.76,14810.0,-0.79
Misr El Gadida for Housing Dev,2018-01-03,3.77,3.83,3.83,3.73,4220000.0,-2.22
Orascom Construction Ltd,2018-01-03,141.75,143.0,143.01,140.25,72920.0,-1.0
Orascom Hotels,2018-01-03,4.75,4.8,4.8,4.62,260260.0,0.21
Orascom Invest,2018-01-03,0.23,0.234,0.234,0.227,12390000.0,0.0
Oriental Weavers,2018-01-03,10.95,11.05,11.08,10.85,142610.0,-0.9
Palm Hills Develop,2018-01-03,3.815,3.854,3.864,3.765,3470000.0,-1.01
Qalaa Holdings,2018-01-03,1.31,1.31,1.32,1.29,23460000.0,1.55
Raya Holding,2018-01-03,0.26,0.26,0.26,0.26,3780000.0,0.0
T M G Holding,2018-01-03,9.96,10.11,10.12,9.88,1720000.0,-0.3
Telecom Egypt,2018-01-03,13.41,13.41,13.55,13.3,448130.0,-0.15
Valmore Holding,2018-01-03,0.762,0.77,0.77,0.753,763640.0,0.0
Abu Dhabi Islamic Bank,2018-01-04,5.26,5.36,5.37,5.18,796470.0,-1.81
Abu Qir Fertilizers and Chemical Industries,2018-01-04,21.4,21.83,21.83,21.25,101790.0,-0.74
Alexandria Mineral Oils,2018-01-04,8.81,8.99,9.13,8.58,2380000.0,-2.44
Arabian Cement Co SAE,2018-01-04,7.69,7.74,7.77,7.65,164970.0,-0.39
Beltone Financial Hld,2018-01-04,4.261,4.203,4.345,4.171,2180000.0,0.61
Commercial Int Bank,2018-01-04,27.42,27.37,27.7,27.23,3680000.0,0.38
EFG Hermes Holdings,2018-01-04,10.08,10.4,10.44,9.76,9570000.0,-3.08
Eastern Tobacco,2018-01-04,14.9,14.85,15.03,14.85,5370000.0,0.68
Edita Food,2018-01-04,8.89,8.5,8.5,8.5,3000.0,0.0
Egypt Aluminum,2018-01-04,46.29,46.16,47.17,45.69,719030.0,2.64
Emaar Misr for Development SAE,2018-01-04,3.52,3.55,3.6,3.41,9720000.0,-0.56
GB AUTO,2018-01-04,4.65,4.78,4.78,4.52,2130000.0,-4.12
Ibnsina Pharma,2018-01-04,5.547,5.605,5.605,5.483,5170000.0,2.86
Juhayna Food,2018-01-04,8.6,8.6,8.67,8.4,1610000.0,0.28
Kima,2018-01-04,6.47,6.54,6.58,6.38,1030000.0,-1.22
Misr Cement,2018-01-04,23.22,23.76,23.76,22.84,71590.0,-2.48
Misr El Gadida for Housing Dev,2018-01-04,3.77,3.76,3.86,3.71,5450000.0,0.15
Orascom Construction Ltd,2018-01-04,141.72,141.01,142.65,141.0,48220.0,-0.02
Orascom Hotels,2018-01-04,4.71,4.61,4.81,4.61,474250.0,-0.84
Orascom Invest,2018-01-04,0.23,0.23,0.234,0.227,12940000.0,0.0
Oriental Weavers,2018-01-04,11.09,11.01,11.26,11.01,496530.0,1.28
