symbol,open,high,low,close,volume
EGX:EXPA,1.59166834,1.62145875,1.56187792,1.59876119,72432.72015282
EGX:EXPA,1.57464534,1.57606362,1.5632962,1.56897077,111646.89804049
EGX:EXPA,1.56187792,1.56755249,1.56045964,1.56187792,190491.63648682
EGX:EXPA,1.56045964,1.5647152,1.56045964,1.56045964,108122.07443935
EGX:EXPA,1.62997061,1.63138962,1.57038978,1.57180806,2601494.34106405
EGX:EXPA,1.57606362,1.60301748,1.56755249,1.58457548,44095.33712011
EGX:EXPA,1.57322706,1.57748263,1.56755249,1.57180806,138124.98815611
EGX:EXPA,1.57180806,1.57606362,1.5647152,1.57038978,58028.35329627
EGX:EXPA,1.57180806,1.57606362,1.56897077,1.57322706,81804.76575115
EGX:EXPA,1.57180806,1.57748263,1.56045964,1.56755249,176421.20028722
EGX:EXPA,1.56755249,1.57464534,1.5632962,1.56613348,22454.43182942
EGX:EXPA,1.56755249,1.56755249,1.56187792,1.5647152,96559.55366746
EGX:EXPA,1.56755249,1.57464534,1.55336606,1.5632962,248080.2457081
EGX:EXPA,1.59308734,1.67252846,1.59308734,1.63422618,203550.66131394
EGX:EXPA,1.63138962,1.64983089,1.62997061,1.6328079,169368.80468449
EGX:EXPA,1.57606362,1.64273804,1.57464534,1.62004047,44415.52577471
EGX:EXPA,1.66401733,1.84417957,1.64557533,1.76615601,767551.29569973
EGX:EXPA,1.76048216,1.79027258,1.74629573,1.77750515,84924.20028314
EGX:EXPA,1.63848247,1.7377846,1.63848247,1.70515616,212216.3679918
EGX:EXPA,1.68813317,1.68813317,1.6186222,1.63564519,398735.1916011
EGX:EXPA,1.60301748,1.63990075,1.60301748,1.62997061,67455.36690397
EGX:EXPA,1.63138962,1.63138962,1.56045964,1.57464534,585476.63564836
EGX:EXPA,1.57464534,1.57464534,1.57464534,1.57464534,7034.53099968
EGX:EXPA,1.57038978,1.5831572,1.56045964,1.57322706,502780.01394511
EGX:EXPA,1.58883105,1.59734291,1.5817382,1.59308734,312414.80387985
EGX:EXPA,1.57464534,1.5831572,1.57038978,1.57748263,52616.75277337
EGX:EXPA,1.57890091,1.57890091,1.51080821,1.56187792,173156.10053039
EGX:EXPA,1.57038978,1.59592463,1.56045964,1.56613348,161237.66189779
EGX:EXPA,1.56187792,1.57322706,1.56045964,1.5632962,105336.57056431
EGX:EXPA,1.56045964,1.59592463,1.56045964,1.5632962,140267.36632148
EGX:EXPA,1.56045964,1.59308734,1.56045964,1.56613348,83407.08322441
EGX:EXPA,1.5632962,1.59592463,1.56045964,1.57464534,77466.41561128
EGX:EXPA,1.5632962,1.59592463,1.5632962,1.57748263,94528.48572108
