symbol,open,high,low,close,volume
EGX:FWRY,1.46528173,2.11172955,1.46528173,1.9234658,205053709.18440086
EGX:FWRY,1.9234658,2.04141418,1.9234658,2.00965885,21158450.09999113
EGX:FWRY,2.00965885,2.03007299,1.95068466,1.96883056,10548866.68338157
EGX:FWRY,1.96883056,2.01419532,1.96883056,1.99151294,4805514.29002109
EGX:FWRY,1.99151294,2.01419532,1.96202585,1.99151294,10723081.20779612
EGX:FWRY,1.99151294,2.0187318,1.97790351,1.98697647,10422759.98593362
EGX:FWRY,1.98697647,2.05275537,1.98697647,2.03460946,4232518.85719303
EGX:FWRY,2.03460946,2.04141418,1.99604942,2.01419532,10752870.8510158
EGX:FWRY,2.01419532,2.0187318,1.95522113,1.98924493,4292045.23913061
EGX:FWRY,1.98924493,2.0187318,1.94161171,1.98243999,941585.50554994
EGX:FWRY,1.98243999,2.12987546,1.98243999,2.04141418,19498721.25222706
EGX:FWRY,2.04141418,2.20019084,2.04141418,2.14121665,13692522.7194413
EGX:FWRY,2.14121665,2.27050621,2.14121665,2.24555559,34975487.97311802
EGX:FWRY,2.24555559,2.25236031,2.20472731,2.23194617,1905699.51144806
EGX:FWRY,2.23194617,2.26823797,2.22287322,2.26596974,15006057.73357717
EGX:FWRY,2.26596974,2.2818474,2.2342144,2.26823797,8538623.46767595
EGX:FWRY,2.26823797,2.37484516,2.26823797,2.30679802,10842945.17403213
EGX:FWRY,2.30679802,2.33628511,2.28865212,2.32267569,22182835.55956044
EGX:FWRY,2.32267569,2.3476263,2.26823797,2.3294804,3464790.77067051
EGX:FWRY,2.3294804,2.3294804,2.26823797,2.2818474,1883611.88194819
EGX:FWRY,2.2818474,2.30906626,2.23875088,2.26823797,5571271.68385171
EGX:FWRY,2.26823797,2.27050621,2.22287322,2.2637015,4980103.55465669
EGX:FWRY,2.2637015,2.2637015,2.14121665,2.18431317,1348694.46428786
EGX:FWRY,2.18431317,2.21153203,2.17297198,2.18431317,518406.80439146
EGX:FWRY,2.18431317,2.20699555,2.12080251,2.18204493,519442.85088496
EGX:FWRY,2.18204493,2.19565436,2.04141418,2.11626603,2061366.59927458
EGX:FWRY,2.11626603,2.15482608,2.08677894,2.15255784,359490.49841295
EGX:FWRY,2.15255784,2.23194617,2.15255784,2.20926379,3314890.27353976
EGX:FWRY,2.20926379,2.20926379,1.98924493,2.03234123,10955340.78809794
EGX:FWRY,2.03234123,2.09812013,1.92800228,2.03914594,51909998.56262406
EGX:FWRY,2.03914594,2.06636479,1.87129633,1.91212461,1864076.89465998
EGX:FWRY,1.91212461,2.05048713,1.91212461,2.00739061,3578725.02399688
EGX:FWRY,2.00739061,2.07316951,1.98470823,2.03914594,16999627.21380006
EGX:FWRY,2.03914594,2.21833674,2.03914594,2.11853427,1679285.8785947
EGX:FWRY,2.11853427,2.15482608,2.07997422,2.10946132,2259414.60174827
EGX:FWRY,2.10946132,2.10946132,2.08224246,2.09585189,945950.12694812
EGX:FWRY,2.09585189,2.12533898,2.04368242,2.05729184,491967.77961886
EGX:FWRY,2.05729184,2.10946132,2.05729184,2.09131541,869485.48701883
EGX:FWRY,2.09131541,2.12760722,2.06409656,2.08224246,353631.32483903
EGX:FWRY,2.08224246,2.10265683,2.04595088,2.09131541,765126.94851755
EGX:FWRY,2.09131541,2.09131541,2.04141418,2.04141418,599778.33686234
EGX:FWRY,2.04141418,2.06182832,2.0187318,2.03914594,156376.88989229
EGX:FWRY,2.03914594,2.04141418,1.99604942,2.02553651,32192.38934292
EGX:FWRY,2.02553651,2.07543775,1.99831766,2.01419532,725188.45836998
EGX:FWRY,2.01419532,2.03914594,1.97336704,1.98470823,681061.69516355
EGX:FWRY,1.98470823,2.05956008,1.97336704,2.0368777,1211799.65718198
EGX:FWRY,2.0368777,2.05956008,2.00058589,2.01419532,78765.98575742
EGX:FWRY,2.01419532,2.03914594,1.97790351,2.00965885,130766.7023145
EGX:FWRY,2.00965885,2.03460946,1.97563528,1.98697647,122698.76579059
EGX:FWRY,1.98697647,2.04141418,1.98697647,2.00739061,2209525.65655455
EGX:FWRY,2.00739061,2.04141418,2.00739061,2.01646356,994322.47642368
EGX:FWRY,2.01646356,2.04141418,2.00739061,2.01192708,282646.70955412
EGX:FWRY,2.01192708,2.03914594,1.99151294,1.99831766,112774.76299534
EGX:FWRY,1.99831766,2.03007299,1.95522113,1.98243999,649116.19349568
EGX:FWRY,1.98243999,2.00285413,1.9529529,1.97336704,2790659.56524224
EGX:FWRY,1.97336704,2.00739061,1.92800228,1.94841642,477727.65121874
EGX:FWRY,1.94841642,1.99604942,1.94841642,1.98697647,556480.41085071
EGX:FWRY,1.98697647,2.00058589,1.93934347,1.95522113,195799.56114735
EGX:FWRY,1.95522113,1.95975761,1.93934347,1.95068466,623435.46658216
EGX:FWRY,1.95068466,2.00739061,1.94387994,1.99151294,553711.74192338
EGX:FWRY,1.99151294,2.00965885,1.97336704,1.99831766,212609.96659306
EGX:FWRY,1.99831766,1.99831766,1.95522113,1.97336704,709921.10089332
EGX:FWRY,1.97336704,1.98697647,1.95522113,1.97336704,6900206.31671873
EGX:FWRY,1.97336704,1.97336704,1.95522113,1.96883056,84519.35032775
EGX:FWRY,1.96883056,1.97336704,1.93480699,1.95068466,167976.20191109
EGX:FWRY,1.95068466,2.00058589,1.95068466,1.97563528,1170913.29471057
EGX:FWRY,1.97563528,1.98924493,1.95068466,1.95522113,61937.94547778
EGX:FWRY,1.95522113,1.98243999,1.95068466,1.97336704,3847171.28352724
EGX:FWRY,1.97336704,1.97336704,1.9529529,1.96883056,76799.701774
EGX:FWRY,1.96883056,1.97336704,1.92800228,1.95068466,5122354.94256943
EGX:FWRY,1.95068466,1.95068466,1.83727276,1.92800228,2573080.98418883
EGX:FWRY,1.92800228,1.95748937,1.92800228,1.93253898,67664.85779721
EGX:FWRY,1.93253898,1.93253898,1.9053199,1.92573404,2140361.83787312
EGX:FWRY,1.92573404,1.92800228,1.89397871,1.91666109,149882.86229682
EGX:FWRY,1.91666109,1.91666109,1.89171047,1.90305166,48539.88039792
EGX:FWRY,1.90305166,1.93253898,1.88490576,1.92573404,3683158.51054238
EGX:FWRY,1.92573404,1.92573404,1.85088219,1.88944223,150998.26554302
EGX:FWRY,1.88944223,1.88944223,1.78283505,1.83273628,940148.26658448
EGX:FWRY,1.83273628,1.9053199,1.76922562,1.81912708,347842.69060085
EGX:FWRY,1.81912708,1.91439285,1.81912708,1.9053199,9923381.16735482
EGX:FWRY,1.9053199,2.03914594,1.9053199,1.93253898,442462.39206316
EGX:FWRY,1.93253898,1.93253898,1.87129633,1.93253898,11669.85135452
EGX:FWRY,1.93253898,1.93253898,1.84180924,1.87129633,10466031.45969434
EGX:FWRY,1.87129633,1.91666109,1.84634571,1.84861395,20588.66861565
EGX:FWRY,1.84861395,1.89397871,1.84861395,1.84861395,8989.35659685
EGX:FWRY,1.84861395,1.86449162,1.84861395,1.85995514,52904.5017961
EGX:FWRY,1.85995514,1.90078342,1.81685862,1.85995514,14019.69297597
EGX:FWRY,1.85995514,1.88263752,1.82593157,1.87129633,4374320.5568405
EGX:FWRY,1.87129633,1.9053199,1.839541,1.88263752,3203887.81135458
EGX:FWRY,1.88263752,1.89397871,1.88263752,1.88263752,243409.20405535
EGX:FWRY,1.88263752,1.92573404,1.88263752,1.88490576,765638.35870158
EGX:FWRY,1.88490576,1.88490576,1.87129633,1.88263752,1743538.39602606
EGX:FWRY,1.88263752,1.88263752,1.83727276,1.86675985,27514.74964245
EGX:FWRY,1.86675985,1.87129633,1.82819981,1.839541,44042.99774525
EGX:FWRY,1.839541,1.86222338,1.83273628,1.84861395,50717.78238852
EGX:FWRY,1.84861395,1.88036928,1.83727276,1.839541,264676.81377738
EGX:FWRY,1.839541,1.839541,1.70117848,1.75788443,1864028.39886666
EGX:FWRY,1.75788443,1.78510329,1.73973853,1.76468914,219588.95212166
EGX:FWRY,1.76468914,1.81459038,1.74654324,1.76922562,2544909.33698241
EGX:FWRY,1.76922562,1.81459038,1.76922562,1.81459038,215144.97397079
EGX:FWRY,1.81459038,1.81459038,1.70117848,1.72839734,1167637.62430769
EGX:FWRY,1.72839734,1.81459038,1.70117848,1.75107972,441682.05066167
EGX:FWRY,1.75107972,1.76922562,1.7261291,1.74881148,511238.24439809
EGX:FWRY,1.74881148,1.81459038,1.74881148,1.791908,666706.94034288
EGX:FWRY,1.791908,1.79871271,1.76922562,1.78056681,521814.73604882
EGX:FWRY,1.78056681,1.78056681,1.75107972,1.78056681,897123.68049881
EGX:FWRY,1.78056681,1.78056681,1.75788443,1.75788443,289819.67825598
EGX:FWRY,1.75788443,1.75788443,1.72386086,1.74200676,43271.47376072
EGX:FWRY,1.74200676,1.74654324,1.72386086,1.73747029,95307.45998567
EGX:FWRY,1.73747029,1.76695738,1.6784961,1.70344672,124881.07648968
EGX:FWRY,1.70344672,1.73293381,1.68530082,1.68756905,36473.24527992
EGX:FWRY,1.68756905,1.73520205,1.68756905,1.71478791,295921.33079646
EGX:FWRY,1.71478791,1.77603033,1.71478791,1.76922562,1412849.9901326
EGX:FWRY,1.76922562,1.9053199,1.70117848,1.82819981,2868482.0873843
EGX:FWRY,1.82819981,1.87129633,1.81459038,1.81685862,343923.34875945
EGX:FWRY,1.81685862,1.85995514,1.78056681,1.81685862,4285.26464548
EGX:FWRY,1.81685862,1.839541,1.81459038,1.81912708,87512.86338771
EGX:FWRY,1.81912708,1.86902809,1.81459038,1.84634571,178971.52086771
EGX:FWRY,1.84634571,1.95068466,1.84634571,1.90758814,2285505.33855071
EGX:FWRY,1.90758814,1.91212461,1.81459038,1.88036928,197708.53192049
EGX:FWRY,1.88036928,1.88036928,1.81459038,1.83046805,307163.53742813
EGX:FWRY,1.83046805,1.90985637,1.81685862,1.90305166,6424603.6629888
EGX:FWRY,1.90305166,1.93934347,1.84861395,1.91212461,121239.48328272
EGX:FWRY,1.91212461,1.92800228,1.91212461,1.92800228,487162.28737238
EGX:FWRY,1.92800228,1.95068466,1.88944223,1.94161171,43756.43169385
EGX:FWRY,1.94161171,1.94161171,1.85315043,1.92119756,441047.19664012
EGX:FWRY,1.92119756,1.92119756,1.91212461,1.92119756,1807.57047803
EGX:FWRY,1.92119756,1.95748937,1.87356457,1.95068466,4761960.65891746
EGX:FWRY,1.95068466,1.95975761,1.93934347,1.95068466,1071338.20491335
EGX:FWRY,1.95068466,1.95068466,1.91666109,1.92573404,31769.15332856
EGX:FWRY,1.92573404,1.95068466,1.92573404,1.95068466,1412329.7625316
EGX:FWRY,1.95068466,2.04141418,1.95068466,2.01646356,3861429.04676129
EGX:FWRY,2.01646356,2.10946132,2.01646356,2.06409656,1336544.06370869
EGX:FWRY,2.06409656,2.08677894,2.05048713,2.0845107,4770857.43263617
EGX:FWRY,2.0845107,2.12080251,2.06636479,2.08677894,1351172.15845531
EGX:FWRY,2.08677894,2.08677894,2.0187318,2.04595088,94654.97113018
EGX:FWRY,2.04595088,2.04595088,2.0187318,2.0368777,57313.2102791
EGX:FWRY,2.0368777,2.0368777,1.95068466,2.0187318,4234313.20154562
EGX:FWRY,2.0187318,2.0187318,1.97336704,1.99378118,5820196.18221931
EGX:FWRY,1.99378118,1.99378118,1.81459038,1.86675985,811215.58699891
EGX:FWRY,1.86675985,1.88263752,1.83727276,1.86902809,1089158.20460167
EGX:FWRY,1.86902809,1.97336704,1.86675985,1.92800228,1400783.3550146
EGX:FWRY,1.92800228,1.92800228,1.88263752,1.92800228,586666.83783387
EGX:FWRY,1.92800228,1.92800228,1.92800228,1.92800228,28656.60513955
EGX:FWRY,1.92800228,1.92800228,1.83727276,1.87810104,53786.2434927
EGX:FWRY,1.87810104,1.88036928,1.75788443,1.84407747,861704.11654632
EGX:FWRY,1.84407747,1.8576869,1.82593157,1.839541,1169868.43080009
EGX:FWRY,1.839541,1.9053199,1.81459038,1.86449162,9080246.53093893
EGX:FWRY,1.86449162,1.86449162,1.6784961,1.71478791,4721144.83578177
EGX:FWRY,1.71478791,1.71478791,1.61044896,1.63313134,6788295.66058606
EGX:FWRY,1.63313134,1.64674077,1.53106063,1.59003482,167623.50523245
EGX:FWRY,1.59003482,1.6308631,1.54240182,1.58776658,1676896.35859691
EGX:FWRY,1.58776658,1.61044896,1.51971944,1.58776658,12378648.23475223
