symbol,open,high,low,close,volume
EGX:HRHO,3.08308729,3.09253679,2.98086194,3.02123647,20923009.27494653
EGX:HRHO,3.03240405,3.04958489,3.00663299,3.02209568,7817034.88730018
EGX:HRHO,3.0160825,3.08995976,2.97398946,3.00749186,16748607.20159698
EGX:HRHO,3.0152232,3.01694136,2.96368109,2.97914378,13854323.12365739
EGX:HRHO,3.00491492,3.00491492,2.8434156,2.90011211,18549668.39280744
EGX:HRHO,2.92072919,2.99374725,2.8915219,2.93619188,7391838.32923872
EGX:HRHO,2.92072919,3.0581751,2.88293161,2.96110407,11090696.8283297
EGX:HRHO,3.07965105,3.34251685,3.07965105,3.22225136,24682097.93861646
EGX:HRHO,3.35024819,3.35024819,3.22139249,3.28839737,9672889.92943315
EGX:HRHO,3.34079869,3.42756178,3.18445386,3.34251685,25138841.41318524
EGX:HRHO,3.39320009,3.52205579,3.39148202,3.45161468,13647196.08106889
EGX:HRHO,3.43529313,3.43615199,3.32877224,3.35024819,9018599.89651405
EGX:HRHO,3.34337572,3.38632762,3.29097466,3.34509388,9027784.58917984
EGX:HRHO,3.39148202,3.530646,3.34165798,3.43958823,16725383.549039
EGX:HRHO,3.55641748,3.61912717,3.52721011,3.58734251,17154188.79496662
EGX:HRHO,3.60795959,3.62943554,3.54782685,3.58648364,10883208.91695458
EGX:HRHO,3.54782685,3.67238744,3.47051368,3.56844393,14309413.58636491
EGX:HRHO,3.67668255,3.70932608,3.64232128,3.67925992,15326062.44476002
EGX:HRHO,3.69386339,3.69386339,3.60795959,3.65177036,11574423.97539442
EGX:HRHO,3.64146199,3.71104424,3.62084533,3.68355502,9602089.80168497
EGX:HRHO,3.61569093,3.69214532,3.2729346,3.51432445,22626670.81655672
EGX:HRHO,3.60881846,3.77890833,3.60795959,3.68097765,18273778.38497585
EGX:HRHO,3.6122547,3.64919342,3.44646036,3.53408224,21192706.30876267
EGX:HRHO,3.54353174,3.59936938,3.47996276,3.5400955,7583401.45028836
EGX:HRHO,3.59679201,3.64575718,3.52291466,3.57531606,6684011.66568598
EGX:HRHO,3.55985338,3.60194633,3.53494153,3.56157145,3958264.95202428
EGX:HRHO,3.5735979,3.65091149,3.54353174,3.6122547,7128741.70193907
EGX:HRHO,3.62943554,3.85622149,3.62943554,3.75829124,19588982.13918771
EGX:HRHO,3.84849015,3.88456991,3.78148527,3.82186022,10261140.97440165
EGX:HRHO,3.82271909,3.90432779,3.82271909,3.86567099,16873956.72076704
EGX:HRHO,3.8313093,3.95930613,3.8313093,3.93611211,10020464.77558654
EGX:HRHO,3.98164095,3.98593648,3.82615533,3.8708253,11241819.36342125
EGX:HRHO,3.88714694,3.88714694,3.80639746,3.85106752,10342045.42817505
EGX:HRHO,3.88628807,4.00225803,3.86567099,3.94813855,12674677.98299824
EGX:HRHO,4.01170754,4.01943888,3.9172131,3.95415182,10449328.22615716
EGX:HRHO,3.93439395,3.95157479,3.85793965,3.87769744,8322344.31599021
EGX:HRHO,3.86824802,3.87168426,3.77117698,3.82014206,21442637.04581517
EGX:HRHO,3.77890833,3.86481212,3.73681529,3.80038428,18165995.02706393
EGX:HRHO,3.73681529,3.73681529,3.54524982,3.61483207,36033237.2625249
EGX:HRHO,3.54353174,3.65005263,3.43615199,3.51432445,17161336.32512731
EGX:HRHO,3.60795959,3.60795959,3.4404471,3.48168092,14634637.84960538
EGX:HRHO,3.45762794,3.46621815,3.21280228,3.31502763,17031644.73958927
EGX:HRHO,3.26004929,3.35797953,3.23170086,3.30042382,22658171.16934963
EGX:HRHO,3.41381718,3.72822508,3.41381718,3.5735979,25329531.46458985
EGX:HRHO,3.58991988,3.58991988,3.48082197,3.51690148,19376709.80615779
EGX:HRHO,3.53494153,3.60624152,3.46793631,3.55555819,9997823.16945859
EGX:HRHO,3.59851009,3.65091149,3.56672577,3.60280528,17358976.01090642
EGX:HRHO,3.55813522,3.6165498,3.5263509,3.58047038,8742453.78825326
EGX:HRHO,3.52291466,3.54353174,3.4928485,3.52377387,7174630.24248219
EGX:HRHO,3.54353174,3.59936938,3.5358004,3.57273903,11077612.42458275
EGX:HRHO,3.59936938,3.73252019,3.59077875,3.68441389,16047264.53527472
EGX:HRHO,3.72822508,3.80553825,3.7033129,3.77117698,17207900.03952928
EGX:HRHO,3.73853337,3.85622149,3.73681529,3.81069265,15575015.34381008
EGX:HRHO,3.86652986,3.94899776,3.86567099,3.92322637,23438858.40501284
EGX:HRHO,3.90948176,4.12424126,3.90862289,4.04091483,20169934.3219237
EGX:HRHO,4.12338239,4.27285517,4.05637751,4.15430784,19431096.22457927
EGX:HRHO,4.08043049,4.13884507,4.01686151,4.06067262,18127684.73103972
EGX:HRHO,4.13111373,4.22646704,4.12338239,4.18265593,10240315.35313538
EGX:HRHO,4.19897782,4.20928619,4.13540884,4.16547542,6602955.87984078
EGX:HRHO,4.15344855,4.18695137,4.0890207,4.12767749,10241165.14092322
EGX:HRHO,4.12338239,4.14485834,4.06410885,4.10963778,13450836.89743585
EGX:HRHO,4.12424126,4.29518999,4.12424126,4.25052001,21518140.10871793
EGX:HRHO,4.26941894,4.28402241,4.21358129,4.24794299,8695296.38649267
EGX:HRHO,4.25653319,4.54345189,4.25223809,4.41975059,10771176.62010348
EGX:HRHO,4.55290139,4.80116329,4.46699759,4.70838735,14212246.75533663
EGX:HRHO,4.83122987,5.12845693,4.83122987,5.04427121,28673330.00043732
EGX:HRHO,5.06402908,5.19717989,4.90424793,5.043412,21679623.07026392
EGX:HRHO,5.22295094,5.32603559,5.13275204,5.20147499,30177640.63976411
EGX:HRHO,5.15336912,5.24013179,5.03568066,5.11471233,18587827.35675984
EGX:HRHO,5.15422799,5.52790935,5.15422799,5.40420805,10069973.64492442
EGX:HRHO,5.58288778,5.75469538,5.41365746,5.63872533,9652227.28116727
EGX:HRHO,5.67051,5.70830724,5.4987024,5.60779997,9180059.57620284
EGX:HRHO,5.56656648,5.68683129,5.41193939,5.57515678,8496201.58463851
EGX:HRHO,5.58374699,5.62669889,5.50986963,5.56742509,5934615.2461009
EGX:HRHO,5.56227104,5.69026753,5.50213863,5.63442989,11373012.62874876
EGX:HRHO,5.58374699,5.65676505,5.45489129,5.51158814,9195192.78338348
EGX:HRHO,5.41279825,5.57086125,5.41193939,5.49612511,7751566.30485103
EGX:HRHO,5.53048637,5.66879158,5.4987024,5.60350512,6092442.95606633
EGX:HRHO,5.66106058,5.92478516,5.66106058,5.79592946,9921109.44998137
EGX:HRHO,5.88011484,5.92736219,5.79592946,5.83544512,9092973.78934258
EGX:HRHO,5.79850649,6.20569033,5.79850649,6.03645975,11856169.37031206
EGX:HRHO,6.1859328,6.57164068,6.18507359,6.39210209,20143567.6186436
EGX:HRHO,6.44364419,6.60514308,6.22802549,6.42130904,28239798.5374979
EGX:HRHO,6.44364419,6.87230398,6.44364419,6.74688452,16985872.60833215
EGX:HRHO,6.87230398,6.95906699,6.70135559,6.84911022,10505332.73365411
EGX:HRHO,6.78725939,6.81990258,6.6163104,6.68675143,8108675.07152823
EGX:HRHO,6.61459258,6.65754448,6.36547139,6.51580304,10566843.4003791
EGX:HRHO,6.4006923,6.60857932,6.39983309,6.5132261,11571164.51538629
EGX:HRHO,6.52697097,6.52697097,6.31392929,6.39639685,7455444.36311179
EGX:HRHO,6.35688119,6.53727899,6.32251949,6.46597875,5378760.90542755
EGX:HRHO,6.55446018,6.84653259,6.44364419,6.74860234,9179000.25170019
EGX:HRHO,6.94961758,7.29323277,6.8568413,7.01576316,15703705.80948848
EGX:HRHO,7.30182298,7.85847986,7.30096377,7.71244306,15301081.01198337
EGX:HRHO,7.73134198,7.73134198,7.49596574,7.59475528,21128739.40610298
EGX:HRHO,7.71416148,7.81638657,7.55781656,7.62224441,16640509.53861284
EGX:HRHO,7.60076846,7.60076846,7.3035408,7.44270513,19229987.54207721
EGX:HRHO,7.39202223,7.46933514,7.21677839,7.30440001,16653547.37864538
EGX:HRHO,7.22107324,7.41951145,6.92384609,7.14376034,22461625.73085897
EGX:HRHO,7.12056588,7.21076513,6.91525588,7.02435345,14820904.3481418
EGX:HRHO,7.17210807,7.42638324,7.01060919,7.20646968,16595773.45000116
EGX:HRHO,7.34563409,7.45043681,7.12142518,7.28807803,17896856.75782062
EGX:HRHO,7.20561047,7.25715326,7.10939864,7.19616105,7827767.82346983
EGX:HRHO,7.21591918,7.30182298,7.09135893,7.191007,6764729.86460178
EGX:HRHO,7.13001538,7.25715326,7.10939864,7.183276,5156640.34680162
EGX:HRHO,7.25801187,7.30010516,6.96422105,7.08620427,13222756.18336647
EGX:HRHO,6.95820778,7.01834019,6.74344828,6.88003498,13229135.41223953
EGX:HRHO,6.78640018,7.08620427,6.78640018,6.97109353,11599894.32717229
EGX:HRHO,7.10853943,7.10853943,6.88948449,6.95305373,4634242.03492608
EGX:HRHO,6.95820778,7.32329893,6.91525588,7.11970667,20554725.21681285
EGX:HRHO,7.21591918,7.46504037,7.21591918,7.39631699,12751426.62526127
EGX:HRHO,7.43067868,7.45645008,7.19873868,7.27347456,8266700.67727987
EGX:HRHO,7.21591918,7.43067868,7.16437708,7.37655955,11229386.85167593
EGX:HRHO,7.34477488,7.72704653,7.34477488,7.62310302,13847187.23442529
EGX:HRHO,7.73134198,7.81724578,7.58101033,7.70471198,7697564.03707336
EGX:HRHO,7.73134198,8.41857238,7.73134198,8.13079482,13425238.49544337
EGX:HRHO,8.3257961,9.27761038,8.3257961,9.06370992,23956332.60409037
EGX:HRHO,9.35578284,9.67019074,8.89963366,9.18397524,27125796.59321691
EGX:HRHO,9.19170658,9.79303318,9.03020744,9.38584917,23607442.3330051
EGX:HRHO,9.83598508,9.87893698,9.53961697,9.69596188,19212072.15296106
EGX:HRHO,9.53532178,10.24918235,9.45199509,9.90642619,19037632.83788275
EGX:HRHO,10.21224372,10.3428175,9.96484078,10.1529701,13149558.02432659
EGX:HRHO,9.96569981,10.05074458,9.58256887,9.7732753,11858125.04631694
EGX:HRHO,10.05074458,10.30845598,10.00779268,10.18904969,12039746.81434177
EGX:HRHO,10.04988554,10.04988554,9.70970649,9.88495024,9802663.00147139
EGX:HRHO,9.70712938,9.87807794,9.64699672,9.78873799,9591519.83851572
EGX:HRHO,9.75867166,9.9132985,9.62122558,9.75179935,9920271.30312213
EGX:HRHO,9.8703466,9.8703466,9.40646608,9.51126871,20391379.70669081
EGX:HRHO,9.53532178,9.8772189,9.53532178,9.75781262,12764441.18343661
EGX:HRHO,9.87464179,9.93906964,9.62294365,9.78100665,13610899.66569258
EGX:HRHO,9.75008128,9.79303318,9.51900006,9.56281099,17569909.63714728
EGX:HRHO,9.70627034,10.56616738,9.70627034,10.21567987,30515332.3375357
EGX:HRHO,10.58764333,11.24480653,10.48112261,11.00685387,25987080.95751708
EGX:HRHO,11.94062817,12.28424337,11.53172694,11.95351288,15688037.11959223
EGX:HRHO,12.02567379,12.35897968,12.02567379,12.22239264,17215198.90176178
EGX:HRHO,12.36928899,13.74460797,12.36928899,13.23262046,30551803.36684103
EGX:HRHO,13.74460797,15.63449156,13.74460797,14.10454489,27752427.77978123
EGX:HRHO,14.34593457,15.45409273,14.13117507,14.63371316,20388981.67539911
EGX:HRHO,15.89220296,16.83714476,15.46268396,16.13101553,25373953.24812933
EGX:HRHO,15.46268396,15.46268396,14.44214682,14.94296598,24588877.38238373
EGX:HRHO,14.60364597,15.80629916,14.44901913,15.23160274,20584572.55774453
EGX:HRHO,15.97810676,16.57943336,15.82777511,16.20317472,24221862.18546752
EGX:HRHO,16.23581816,16.83714476,15.82777511,16.24183229,27860478.87905097
EGX:HRHO,17.01840178,18.81293216,16.92390674,17.75631542,45546285.60134471
EGX:HRHO,19.32835496,20.70281575,19.32835496,20.18997007,24594453.38718338
EGX:HRHO,19.75873213,20.96052715,18.04151603,19.25791298,30356154.2798526
EGX:HRHO,18.12827887,19.28540306,18.03979796,18.74506901,20149399.72387244
EGX:HRHO,19.15568918,20.18653477,19.15568918,19.69001081,16491715.18924139
EGX:HRHO,20.18739295,22.15458911,20.18739295,21.53951962,22072539.33331622
EGX:HRHO,23.19402595,24.48258294,23.19402595,23.76872237,27171091.44640141
EGX:HRHO,23.10812215,23.70858885,22.67860315,23.01792402,22512298.69305692
EGX:HRHO,22.76450695,24.22401165,22.76450695,23.56341143,16944687.00294362
EGX:HRHO,23.62354495,24.05306394,20.61691195,22.0704051,38558538.82661479
EGX:HRHO,20.70539287,21.39004615,19.32835496,20.36005873,20112963.61735291
EGX:HRHO,21.04643095,21.90461077,20.9820031,21.38231481,16031246.61752044
EGX:HRHO,21.34709425,22.33498795,20.62034725,21.42698393,19187428.30711383
EGX:HRHO,21.04643095,21.04643095,17.78208656,19.27595364,22402559.65914008
EGX:HRHO,17.18075996,18.98473976,17.18075996,18.176385,23526549.52016031
EGX:HRHO,18.30883092,19.43745649,17.28702914,18.34784424,8778841.66908454
EGX:HRHO,17.37063018,17.55641232,15.83792751,16.84115107,21932463.36823647
EGX:HRHO,17.46352125,18.29954088,17.28888603,17.88338888,15517713.3058405
