symbol,open,high,low,close,volume
EGX:ISPH,3.7389491,3.7389491,3.7389491,3.7389491,0.0
EGX:ISPH,3.7389491,4.44806014,3.7389491,4.33847025,82436821.6390712
EGX:ISPH,4.33847025,4.58343588,4.33847025,4.48673892,52455904.80150066
EGX:ISPH,4.48673892,4.54475709,4.3835955,4.43516721,16506289.43166683
EGX:ISPH,4.43516721,4.83484797,4.43516721,4.69302577,10362313.41296815
EGX:ISPH,4.69302577,4.77038333,4.57698941,4.68013284,10707009.35983476
EGX:ISPH,4.68013284,5.14427824,4.65434698,4.92509847,9073701.54040725
EGX:ISPH,4.92509847,5.41502973,4.92509847,5.18295703,3930122.02373672
EGX:ISPH,5.18295703,5.64065597,5.18295703,5.37635095,7335843.38086034
EGX:ISPH,5.37635095,5.37635095,5.02824189,5.18940349,2676793.05995673
EGX:ISPH,5.18940349,5.35056509,5.15717117,5.24742167,1114117.76132595
EGX:ISPH,5.24742167,5.37635095,5.20229642,5.31188631,1072138.15800966
EGX:ISPH,5.31188631,5.35056509,5.15717117,5.26031459,4500301.27557881
EGX:ISPH,5.26031459,5.37635095,5.09270653,5.22163581,2590063.34221916
EGX:ISPH,5.22163581,5.38279741,5.15717117,5.35056509,2378007.55355089
EGX:ISPH,5.35056509,5.35701155,5.18940349,5.26031459,1540858.6871076
EGX:ISPH,5.26031459,5.67288829,5.26031459,5.39569034,9446499.71525693
EGX:ISPH,5.39569034,5.60842365,5.39569034,5.55040547,5167935.50483362
EGX:ISPH,5.55040547,5.58263779,5.44726205,5.54395901,5884450.79535883
EGX:ISPH,5.54395901,5.57619133,5.44726205,5.49238794,2119757.44786407
EGX:ISPH,5.49238794,5.57619133,5.42792266,5.48594083,2137879.01042193
EGX:ISPH,5.48594083,5.67288829,5.46015498,5.54395901,1282523.26332963
EGX:ISPH,5.54395901,5.80181757,5.54395901,5.64065597,402917.01225967
EGX:ISPH,5.64065597,5.67288829,5.46015498,5.50528023,9792402.52530364
EGX:ISPH,5.50528023,5.6342095,5.46660144,5.51817315,2503769.52236542
EGX:ISPH,5.51817315,5.67933475,5.51817315,5.6342095,2078370.41747168
EGX:ISPH,5.6342095,6.05322966,5.61487011,5.82115696,6865689.50783127
EGX:ISPH,5.82115696,6.12414077,5.82115696,5.98231856,1677631.34339308
EGX:ISPH,5.98231856,6.5109286,5.98231856,6.33687408,5716192.66096712
EGX:ISPH,6.33687408,6.8332518,6.33687408,6.68498313,7077489.34222613
EGX:ISPH,6.68498313,6.9944134,6.54316092,6.78168009,8021430.08772875
EGX:ISPH,6.78168009,6.9235023,6.6720902,6.74300131,461521.23344385
EGX:ISPH,6.74300131,6.96218108,6.72366191,6.90416291,3682200.06079174
EGX:ISPH,6.90416291,6.96218108,6.55605385,6.71076899,1695586.92348273
EGX:ISPH,6.71076899,6.71076899,6.12414077,6.52382153,1430331.42689441
EGX:ISPH,6.52382153,6.76878716,6.52382153,6.66564374,3500900.66835997
EGX:ISPH,6.66564374,6.66564374,6.349767,6.5109286,1634854.40373414
EGX:ISPH,6.5109286,6.63985788,6.5109286,6.62051849,4744788.79754594
EGX:ISPH,6.62051849,6.62051849,6.19505187,6.42712457,1195784.23816394
EGX:ISPH,6.42712457,6.80101948,6.42712457,6.65919727,18142822.27493937
EGX:ISPH,6.65919727,7.32318306,6.65919727,7.17491439,4949012.38544769
EGX:ISPH,7.17491439,7.28450428,6.90416291,7.11044975,2092748.84268559
EGX:ISPH,7.11044975,7.28450428,7.03309218,7.19425378,848623.37408244
EGX:ISPH,7.19425378,7.54236284,7.09111036,7.38120124,1647000.59743626
EGX:ISPH,7.38120124,7.4778982,7.30384367,7.3876477,4305983.89367728
EGX:ISPH,7.3876477,8.03874056,7.38120124,7.71641736,2949103.58706322
EGX:ISPH,7.71641736,8.25147387,7.71641736,8.03874056,6104185.21222959
