symbol,open,high,low,close,volume
EGX:JUFO,0.6,0.6,0.6,0.6,271188946.6666667
EGX:JUFO,2.754,2.796,2.4,2.604,27196108.33333333
EGX:JUFO,2.616,2.766,2.436,2.688,19745921.66666667
EGX:JUFO,2.664,2.706,2.61,2.682,3629906.66666667
EGX:JUFO,2.682,2.754,2.634,2.712,3765220.0
EGX:JUFO,2.7,2.7,2.592,2.64,1459995.0
EGX:JUFO,2.586,2.664,2.538,2.604,4893828.33333333
EGX:JUFO,2.58,2.586,2.526,2.568,2372810.0
EGX:JUFO,2.562,2.604,2.514,2.556,5559140.0
EGX:JUFO,2.532,2.574,2.49,2.508,3402818.33333333
EGX:JUFO,2.526,2.538,2.496,2.514,1462940.0
EGX:JUFO,2.49,2.568,2.472,2.514,3503880.0
EGX:JUFO,2.496,2.502,2.454,2.478,1655853.33333333
EGX:JUFO,2.466,2.49,2.37,2.43,1450631.66666667
EGX:JUFO,2.454,2.49,2.358,2.43,1627345.0
EGX:JUFO,2.49,2.49,2.424,2.454,741805.0
EGX:JUFO,2.43,2.436,2.4,2.418,1881150.0
EGX:JUFO,2.436,2.532,2.436,2.502,3073353.33333333
EGX:JUFO,2.55,2.556,2.52,2.55,1507328.33333333
EGX:JUFO,2.544,2.76,2.52,2.664,4765318.33333333
EGX:JUFO,2.73,2.886,2.7,2.844,9478228.33333333
EGX:JUFO,2.856,2.97,2.826,2.928,9907985.0
EGX:JUFO,2.886,2.928,2.796,2.844,825818.33333333
EGX:JUFO,2.766,2.79,2.664,2.748,382665.0
EGX:JUFO,2.706,2.766,2.67,2.712,1063708.33333333
EGX:JUFO,2.742,2.76,2.64,2.67,1044066.66666667
EGX:JUFO,2.694,2.766,2.64,2.718,685778.33333333
EGX:JUFO,2.652,2.76,2.652,2.712,504563.33333333
EGX:JUFO,2.76,2.772,2.67,2.712,317541.66666667
EGX:JUFO,2.7,2.718,2.658,2.682,445918.33333333
EGX:JUFO,2.7,2.754,2.7,2.73,1249211.66666667
EGX:JUFO,2.7,2.85,2.7,2.796,2067603.33333333
EGX:JUFO,2.796,2.814,2.742,2.784,647201.66666667
EGX:JUFO,2.766,2.802,2.736,2.754,134411.66666667
EGX:JUFO,2.742,2.82,2.736,2.772,2545926.66666667
EGX:JUFO,2.79,2.898,2.79,2.82,2929080.0
EGX:JUFO,2.802,2.916,2.796,2.892,4203261.66666667
EGX:JUFO,2.91,2.982,2.91,2.94,5175266.66666667
EGX:JUFO,2.946,3.072,2.946,3.036,4494988.33333333
EGX:JUFO,3.0,3.24,3.0,3.126,8560291.66666667
EGX:JUFO,3.12,3.21,3.072,3.09,14027123.33333333
EGX:JUFO,3.078,3.09,3.006,3.036,20069498.33333333
EGX:JUFO,3.0,3.096,2.982,3.0,4546515.0
EGX:JUFO,3.108,3.108,2.982,3.006,406258.33333333
EGX:JUFO,3.0,3.102,3.0,3.03,543303.33333333
EGX:JUFO,3.018,3.078,3.012,3.042,619588.33333333
EGX:JUFO,3.06,3.06,2.982,3.018,1418510.0
EGX:JUFO,2.994,3.06,2.934,2.994,606055.0
EGX:JUFO,3.0,3.018,2.952,2.988,352770.0
EGX:JUFO,3.006,3.09,3.0,3.048,865816.66666667
EGX:JUFO,3.048,3.048,2.988,3.0,339248.33333333
EGX:JUFO,2.988,3.018,2.97,3.0,687978.33333333
EGX:JUFO,2.988,3.024,2.988,3.0,292158.33333333
EGX:JUFO,3.006,3.018,2.982,3.0,1090920.0
EGX:JUFO,2.97,3.012,2.964,2.97,119218.33333333
EGX:JUFO,2.946,2.994,2.946,2.97,305926.66666667
EGX:JUFO,2.952,3.036,2.952,3.018,309955.0
EGX:JUFO,3.012,3.042,3.0,3.03,1260656.66666667
EGX:JUFO,2.988,3.03,2.97,2.988,23660.0
EGX:JUFO,3.03,3.09,3.006,3.036,536088.33333333
EGX:JUFO,3.006,3.06,3.006,3.018,16428.33333333
EGX:JUFO,3.03,3.06,3.012,3.036,35373.33333333
EGX:JUFO,3.0,3.132,3.0,3.102,1939805.0
EGX:JUFO,3.072,3.138,3.06,3.108,2540676.66666667
EGX:JUFO,3.09,3.114,3.036,3.066,341611.66666667
EGX:JUFO,3.036,3.348,3.036,3.216,3758125.0
EGX:JUFO,3.216,3.33,3.216,3.306,556938.33333333
EGX:JUFO,3.3,3.306,3.24,3.294,437645.0
EGX:JUFO,3.27,3.312,3.24,3.3,819820.0
EGX:JUFO,3.264,3.324,3.252,3.294,846588.33333333
EGX:JUFO,3.294,3.312,3.264,3.3,3377035.0
EGX:JUFO,3.318,3.354,3.288,3.3,225153.33333333
EGX:JUFO,3.27,3.306,3.186,3.294,161636.66666667
EGX:JUFO,3.216,3.342,3.216,3.324,504951.66666667
