symbol,open,high,low,close,volume
EGX:ORHD,0.39872455,0.39872455,0.38076398,0.39656928,105856.91420598
EGX:ORHD,0.38076398,0.38076398,0.38076398,0.38076398,1391.93838535
EGX:ORHD,0.38794821,0.38794821,0.38794821,0.38794821,1391.93838535
EGX:ORHD,0.39154032,0.39513243,0.3814824,0.38651136,16703.26062422
EGX:ORHD,0.39585086,0.40590877,0.39585086,0.40447193,15311.32223887
EGX:ORHD,0.42243249,0.42386934,0.42243249,0.42386934,27908.3646263
EGX:ORHD,0.44470359,0.44470359,0.44470359,0.44470359,1391.93838535
EGX:ORHD,0.46625627,0.46625627,0.46625627,0.46625627,1391.93838535
EGX:ORHD,0.45260624,0.45260624,0.44901413,0.45045097,18095.19900957
EGX:ORHD,0.42817987,0.42817987,0.42817987,0.42817987,1391.93838535
EGX:ORHD,0.44901413,0.44901413,0.42817987,0.43177199,68204.98088222
EGX:ORHD,0.45332466,0.45332466,0.43105356,0.43105356,84908.24150644
EGX:ORHD,0.43105356,0.44901413,0.43105356,0.43105356,14058.57769205
EGX:ORHD,0.43105356,0.43105356,0.43105356,0.43105356,6959.69192676
EGX:ORHD,0.43105356,0.43105356,0.43105356,0.43105356,27838.76770703
EGX:ORHD,0.43105356,0.43105356,0.43105356,0.43105356,28534.73689971
EGX:ORHD,0.43105356,0.43105356,0.43105356,0.43105356,30622.64447773
EGX:ORHD,0.43105356,0.43105356,0.43105356,0.43105356,20739.88194174
EGX:ORHD,0.43105356,0.43105356,0.43105356,0.43105356,167032.60624218
EGX:ORHD,0.43105356,0.43105356,0.43105356,0.43105356,69596.91926757
EGX:ORHD,0.43105356,0.43105356,0.43105356,0.43105356,41549.36080274
EGX:ORHD,0.43105356,0.43105356,0.43105356,0.43105356,17399.22981689
EGX:ORHD,0.43105356,0.43105356,0.43105356,0.43105356,4175.81515605
EGX:ORHD,0.43105356,0.43105356,0.43105356,0.43105356,2087.90757803
EGX:ORHD,0.43105356,0.43105356,0.43105356,0.43105356,25402.87553266
EGX:ORHD,0.40950088,0.40950088,0.40950088,0.40950088,6959.69192676
EGX:ORHD,0.40950088,0.40950088,0.40950088,0.40950088,2227.10141656
EGX:ORHD,0.39513243,0.39513243,0.39513243,0.39513243,6959.69192676
EGX:ORHD,0.39872455,0.39872455,0.39872455,0.39872455,2087.90757803
EGX:ORHD,0.39872455,0.39872455,0.37932714,0.39010347,15311.32223887
EGX:ORHD,0.37070606,0.37070606,0.37070606,0.37070606,5498.15662214
EGX:ORHD,0.3527455,0.3527455,0.3527455,0.3527455,1391.93838535
EGX:ORHD,0.33550336,0.33550336,0.33550336,0.33550336,2783.8767707
EGX:ORHD,0.31897964,0.31969806,0.31897964,0.31897964,10857.11940574
EGX:ORHD,0.30892172,0.30892172,0.30317434,0.30748487,16703.26062422
EGX:ORHD,0.29455327,0.29527169,0.292398,0.29383485,8351.63031211
EGX:ORHD,0.28090324,0.29383485,0.28090324,0.29383485,695.96919268
EGX:ORHD,0.28377693,0.28377693,0.27946639,0.28162166,19487.13739492
EGX:ORHD,0.29527169,0.29527169,0.28377693,0.29167958,3479.84596338
EGX:ORHD,0.30604803,0.30604803,0.30604803,0.30604803,9047.59950478
EGX:ORHD,0.32041648,0.3211349,0.32041648,0.3211349,11831.47627549
EGX:ORHD,0.3369402,0.3369402,0.3369402,0.3369402,2783.8767707
EGX:ORHD,0.32041648,0.32041648,0.32041648,0.32041648,1157132.29912653
EGX:ORHD,0.30461118,0.30461118,0.30461118,0.30461118,6959.69192676
EGX:ORHD,0.28952431,0.28952431,0.28952431,0.28952431,6959.69192676
EGX:ORHD,0.28234008,0.28234008,0.28234008,0.28234008,2714.27985144
EGX:ORHD,0.28665062,0.28665062,0.28665062,0.28665062,1670.32606242
EGX:ORHD,0.27300059,0.27300059,0.27300059,0.27300059,12527.44546816
EGX:ORHD,0.27300059,0.27300059,0.27300059,0.27300059,6959.69192676
EGX:ORHD,0.26940848,0.27300059,0.26222425,0.26725321,21644.64189222
