symbol,open,high,low,close,volume
EGX:ORWE,4.98970105,4.98970105,4.98902663,4.98970105,197661.541123
EGX:ORWE,4.88855846,4.92227266,4.88855846,4.91755267,21993.70239236
EGX:ORWE,4.85551869,4.88855846,4.85484427,4.86832974,28207.70192197
EGX:ORWE,4.82113007,4.85484427,4.82113007,4.84068437,32923.81612343
EGX:ORWE,4.76381607,4.85484427,4.76381607,4.84472987,294742.30704371
EGX:ORWE,4.85416985,4.85484427,4.82113007,4.83596439,23758.53758096
EGX:ORWE,4.88855846,4.88855846,4.85416985,4.85956426,165627.55786778
EGX:ORWE,4.92227266,5.05712945,4.92227266,4.98835269,244125.64739089
EGX:ORWE,4.89530117,5.12388342,4.85686705,5.00588373,148305.47803347
EGX:ORWE,5.3875287,5.3875287,5.20614613,5.25874021,119133.79050428
EGX:ORWE,5.32684302,5.39427141,5.25941462,5.3484201,242479.45658472
EGX:ORWE,5.52238549,5.6673566,5.52238549,5.62150529,124428.29607008
EGX:ORWE,5.66398498,6.03484114,5.66398498,5.85480747,293407.55774141
EGX:ORWE,5.81637328,6.67541087,5.81637328,6.26544611,611611.79141002
EGX:ORWE,6.4056973,6.48661117,6.06855534,6.3820975,450240.6007618
EGX:ORWE,6.07192696,6.13733209,6.06855534,6.06922975,1682762.93705453
EGX:ORWE,6.06855534,6.20476049,6.06855534,6.15756081,122500.32485564
EGX:ORWE,6.13665815,6.20341212,6.06855534,6.1494692,564762.09089924
EGX:ORWE,6.06855534,6.08541243,5.97078437,6.07057812,50809.45677427
EGX:ORWE,6.00180136,6.00180136,5.73141337,5.86896736,268254.94866693
EGX:ORWE,5.73276174,5.93369855,5.73073895,5.90537876,273935.04847562
EGX:ORWE,5.73141337,5.79884177,5.66398498,5.72939059,35519.16198902
EGX:ORWE,5.76512757,6.10833782,5.76512757,5.94179016,15008.51437699
EGX:ORWE,5.76512757,5.79884177,5.73545894,5.75973316,96695.17167782
EGX:ORWE,5.81569886,5.81569886,5.75838486,5.78333303,380270.07622561
EGX:ORWE,5.79884177,5.80558447,5.69904754,5.74557327,288142.71327122
EGX:ORWE,6.06855534,6.06855534,5.6309452,5.72871617,1148818.72449064
EGX:ORWE,5.89998435,5.89998435,5.63027078,5.66937939,183854.30111809
EGX:ORWE,5.79884177,5.86627016,5.69769918,5.73748166,193657.2932161
EGX:ORWE,5.74827047,5.79884177,5.70579079,5.73343616,433452.42064841
EGX:ORWE,5.73141337,5.73141337,5.6673566,5.69297919,411251.0905868
EGX:ORWE,5.70983629,5.76512757,5.7010708,5.7273678,384333.64632373
EGX:ORWE,5.73073895,5.73141337,5.69769918,5.71523069,375717.09804998
EGX:ORWE,5.69769918,5.72804175,5.59655659,5.64847625,645692.39026211
EGX:ORWE,5.6046482,5.72332176,5.59655659,5.65656779,152650.82853985
EGX:ORWE,5.71388186,5.79075016,5.71388186,5.761082,515658.14712236
EGX:ORWE,6.06855444,6.06855444,5.73141252,5.84679005,263786.54364341
EGX:ORWE,5.43173082,5.61903189,5.16950934,5.46094971,432485.53292181
EGX:ORWE,5.46994039,5.54411146,5.35755975,5.45645471,761287.72469997
EGX:ORWE,5.4017625,5.4017625,5.02341473,5.19947766,427093.14494266
EGX:ORWE,5.26390922,5.38677872,5.19947766,5.28188997,379242.37537521
EGX:ORWE,5.31935019,5.42274015,5.31935019,5.33808029,492028.70810742
EGX:ORWE,5.39427061,5.39427061,5.33133775,5.35081661,115295.66179182
EGX:ORWE,5.35755975,5.35755975,5.32759151,5.34257537,33221.91504976
EGX:ORWE,5.3568104,5.39277243,5.33808029,5.36055664,243418.26627662
EGX:ORWE,5.39427061,5.50665125,5.39427061,5.45795282,128069.21450481
EGX:ORWE,5.46919104,5.52538136,5.25192165,5.36580107,328615.32684819
EGX:ORWE,5.32009954,5.39352126,5.28188997,5.32534397,41043.54711853
EGX:ORWE,5.33808029,5.39052437,5.31935019,5.33283586,197889.9608388
EGX:ORWE,5.3568104,5.37179426,5.31935019,5.33957848,37626.58839907
EGX:ORWE,5.32084837,5.3568104,5.32084837,5.32609272,353855.43988921
EGX:ORWE,5.33658211,5.38602929,5.32309643,5.33358522,77161.86858283
EGX:ORWE,5.37928675,5.37928675,5.28188997,5.33658211,168819.11673338
EGX:ORWE,5.24592794,5.31185829,5.02341473,5.24143287,418337.18822404
EGX:ORWE,5.24442976,5.24442976,5.07960505,5.17625187,375091.30443086
EGX:ORWE,5.16875998,5.16875998,5.00468463,5.08709702,853719.1275604
EGX:ORWE,5.02341473,5.05637934,5.00468463,5.02191602,86865.4974463
EGX:ORWE,5.15377612,5.16950934,4.98370646,5.05038616,17058.09860731
EGX:ORWE,4.96347817,4.96347817,4.87057699,4.89305282,43873.21605808
EGX:ORWE,4.94100181,5.05338245,4.94100181,5.0136747,167657.88466857
EGX:ORWE,5.01966849,5.01966849,4.98220827,4.99044959,137572.63094331
EGX:ORWE,5.01966849,5.01966849,4.94474806,4.97097006,141683.65940266
EGX:ORWE,4.96347817,5.01966849,4.95598627,4.99719213,414960.27198958
EGX:ORWE,5.00468463,5.01891913,4.94474806,4.98595452,128282.77442477
EGX:ORWE,4.98220827,5.19872823,4.86982764,4.87806896,5512101.66178593
EGX:ORWE,4.89604963,5.00843027,4.89230399,4.95074184,26548.16755081
EGX:ORWE,4.95298938,5.24442976,4.94549741,5.07211256,277547.81098624
EGX:ORWE,5.24218222,5.28114062,5.13204912,5.1844932,338078.7008017
EGX:ORWE,5.23618844,5.317852,5.23618844,5.27065176,346340.80020539
EGX:ORWE,5.24442976,5.35456286,5.24442976,5.28039179,156125.64899038
EGX:ORWE,5.35381351,5.71193306,5.35381351,5.63926018,744950.39082255
EGX:ORWE,5.73066317,5.83630127,5.73066317,5.7808603,360328.97496319
EGX:ORWE,5.91871359,5.95242755,5.65873964,5.83105684,282246.1292255
EGX:ORWE,5.57482914,5.61828253,5.50665125,5.54186392,245940.94283122
EGX:ORWE,5.49840993,5.61978124,5.24442976,5.53736892,568710.06687033
EGX:ORWE,5.64900021,5.64900021,5.54411146,5.58606675,123851.40608547
EGX:ORWE,5.6564921,5.69395231,5.54486082,5.63626381,255697.96167469
EGX:ORWE,5.61903189,5.61903189,5.46919104,5.55984468,147916.93956668
EGX:ORWE,5.43248018,5.50665125,5.33433405,5.43322901,147703.37964671
EGX:ORWE,5.46544479,5.46544479,5.24368041,5.28039179,1068787.31446149
EGX:ORWE,5.39052437,5.53587014,5.38677872,5.47143857,167177.37484864
EGX:ORWE,5.54411146,5.6564921,5.51788946,5.57033346,261383.99454379
EGX:ORWE,5.6564921,5.84379316,5.61903189,5.78460595,691106.59600104
EGX:ORWE,5.91796423,5.91871359,5.66773031,5.71642866,2167980.22252819
EGX:ORWE,5.73141252,5.76887274,5.64525389,5.70519053,1391463.00603561
EGX:ORWE,5.6564921,5.69320296,5.58157167,5.62053007,790638.86620034
EGX:ORWE,5.68646042,5.69395231,5.61903189,5.62427632,1162099.65199178
EGX:ORWE,5.84379316,5.8460407,5.54411146,5.68196474,969295.08674718
EGX:ORWE,5.61903189,5.68646042,5.3568104,5.4362259,1036806.71644653
EGX:ORWE,5.4017625,5.41300072,5.37254361,5.39427061,282499.73163046
EGX:ORWE,5.61828253,5.61828253,5.43248018,5.49541304,481470.83956409
EGX:ORWE,5.54486082,5.60404803,5.49166739,5.53437203,430603.53612711
EGX:ORWE,5.53661957,5.54336211,5.46919104,5.50590189,340240.99499136
EGX:ORWE,5.54411146,5.54486082,5.3568104,5.42124204,1168706.66201574
EGX:ORWE,5.39427061,5.54411146,5.3830324,5.43173082,2678468.5162177
EGX:ORWE,5.58082232,5.73141252,5.54411146,5.64900021,1248444.59713316
EGX:ORWE,5.69395231,6.33077593,5.69395231,5.98014834,2827893.72271914
EGX:ORWE,6.36823614,6.75107959,6.18093508,6.48511185,2396676.20182213
EGX:ORWE,6.30080761,6.44315656,6.03109422,6.27458561,2063976.54150458
EGX:ORWE,6.28582382,6.28582382,5.9561738,6.07379887,998325.8883676
EGX:ORWE,6.07304951,6.29331571,6.06930379,6.15321429,793548.62010988
EGX:ORWE,6.28956947,6.63045763,6.28956947,6.52107388,2036987.90661884
EGX:ORWE,6.59299741,6.59299741,6.40569635,6.49260434,2308702.862291
EGX:ORWE,6.36823614,6.44315656,6.21914464,6.31054764,537396.84360527
EGX:ORWE,6.33077593,6.58400674,6.2558555,6.37123303,533846.40993583
EGX:ORWE,6.29406507,6.36748678,6.14347486,6.21015397,315080.96692032
EGX:ORWE,6.1097609,6.4281727,6.1097609,6.29181753,308727.55930132
EGX:ORWE,6.44315656,6.59299741,6.44315656,6.54280088,775089.0345278
EGX:ORWE,6.59299741,7.1361705,6.59299741,6.87394901,2643911.85166815
EGX:ORWE,6.96759954,7.49204252,6.67166408,6.92189801,2259130.26586881
EGX:ORWE,6.74283826,7.1099485,6.66791784,6.83948569,1994449.44006055
EGX:ORWE,7.04251996,7.86664464,6.96759954,7.53324875,6018278.71459113
EGX:ORWE,8.01648549,8.23375472,7.72729265,7.96853642,3750459.22947868
EGX:ORWE,7.86289862,7.86739385,7.41712209,7.56471533,3692744.66110778
EGX:ORWE,7.64188337,8.01648549,7.45533166,7.69432766,2629576.64204041
EGX:ORWE,7.60442315,7.60442315,7.0043104,7.29350324,3065612.60863166
EGX:ORWE,7.12568171,7.41637274,7.0447675,7.1983546,2045970.77075242
EGX:ORWE,7.11893857,7.19311017,6.79678105,6.91365676,3070577.87677088
EGX:ORWE,6.81850804,6.97509143,6.66791784,6.83124437,1581771.58971561
EGX:ORWE,6.89642536,7.02978364,6.79528234,6.9346344,695978.43167527
EGX:ORWE,6.89267911,6.93238686,6.76531462,6.84173323,1419452.7030462
EGX:ORWE,6.81850804,6.89267911,6.5555372,6.68215287,1551259.21615042
EGX:ORWE,6.44315656,6.49560064,6.14422422,6.30605204,1725270.50843798
EGX:ORWE,6.36823614,6.5555372,6.22363972,6.4094426,1045909.7080351
EGX:ORWE,6.44315656,6.57052106,6.30080761,6.42292827,545525.46805899
EGX:ORWE,6.48061678,6.51433074,6.31204582,6.41543578,626518.06770622
EGX:ORWE,6.39445814,6.5944956,6.33377282,6.4236771,1311671.6809382
EGX:ORWE,6.51807699,6.62970827,6.44390592,6.53156267,1014663.22224502
EGX:ORWE,6.59524495,6.96759954,6.59299741,6.79153669,1281466.29975796
EGX:ORWE,7.02978364,7.48904562,7.02978364,7.24405606,1720812.44510869
EGX:ORWE,7.41712209,7.63813734,7.15639879,7.47481059,3409350.64731246
EGX:ORWE,7.49129316,7.64188337,7.20809403,7.43660155,1908998.77708402
EGX:ORWE,7.71680379,7.94156507,7.64188337,7.85615578,2312987.40818532
EGX:ORWE,8.01648549,8.22251666,7.49204252,7.91609212,2652294.07852683
EGX:ORWE,7.86664464,8.08316467,7.64188337,7.76325445,1203970.74380018
EGX:ORWE,7.64413098,7.82843522,7.37966188,7.52650591,1341089.55991356
EGX:ORWE,7.48455062,7.67859437,6.44315656,7.50552819,1068720.5769865
EGX:ORWE,7.52950273,7.57445498,7.49204252,7.53399795,395593.05674763
EGX:ORWE,7.56696294,7.60442315,7.11744039,7.42536341,1077903.65354505
EGX:ORWE,7.58569305,7.86514623,7.11744039,7.13017671,91210974.6552942
EGX:ORWE,7.79172422,7.79172422,7.41712209,7.61116599,2763625.53430427
EGX:ORWE,7.4545823,7.5602201,7.26728124,7.3879032,1185324.29328812
EGX:ORWE,7.52950273,7.52950273,6.96759954,7.2245766,3562246.20251336
EGX:ORWE,7.19161146,7.19236081,6.89267911,7.01554854,2666922.93304452
EGX:ORWE,7.07998018,7.22982103,7.07998018,7.13167542,1134777.32973108
EGX:ORWE,7.19236081,7.19236081,6.96834889,7.00805664,10988191.78206754
EGX:ORWE,7.18486892,7.19236081,6.93013933,7.02528804,2275347.47229126
EGX:ORWE,7.09871028,7.19236081,7.04551686,7.15639879,1846585.89047386
EGX:ORWE,7.26728124,7.26728124,6.96834889,7.07398639,4649546.49253693
EGX:ORWE,7.40588388,7.48829627,7.05001186,7.16014503,5826368.43151139
EGX:ORWE,7.2650337,7.70931175,7.2650337,7.49503933,11099229.59295504
EGX:ORWE,7.49204252,7.59693111,7.19985271,7.32496974,3901379.35541989
EGX:ORWE,7.4358522,7.49204252,7.15564996,7.27177632,4044945.01161725
EGX:ORWE,7.29724956,7.34070348,7.17063382,7.24255735,5334620.02079892
EGX:ORWE,7.4096302,7.64188337,7.19685589,7.39989017,5019739.26630356
EGX:ORWE,7.19311017,7.41712209,7.11744039,7.2650337,3960175.07088562
EGX:ORWE,7.30474145,7.52950273,7.19236081,7.32122402,7852478.12970694
EGX:ORWE,7.4141252,7.42461398,7.20734468,7.32422091,5768773.99059547
EGX:ORWE,7.34220167,7.34220167,7.1549006,7.2343161,6201045.96359731
EGX:ORWE,7.26728124,7.33545913,7.06499632,7.22682414,7358166.99995488
EGX:ORWE,7.40813141,8.91553059,7.40813141,8.01273947,32307811.85483118
EGX:ORWE,8.87807038,8.91553059,7.71680379,8.13935499,13707343.46303883
EGX:ORWE,7.56846135,8.09140592,7.56846135,7.80970512,8669131.26365818
EGX:ORWE,7.86664464,8.09140592,7.64637859,7.81719716,8543050.82590806
EGX:ORWE,7.97902528,8.60835685,7.95280313,8.27421175,13039768.50071909
EGX:ORWE,8.54092847,8.90803855,8.25997687,8.54842051,13522213.70741802
EGX:ORWE,8.458516,8.46525884,7.96778722,8.0891583,7123518.03789187
EGX:ORWE,8.16632634,8.24124677,7.86664464,8.0352156,5529546.83774818
EGX:ORWE,8.01573629,8.01648549,7.64188337,7.78797819,6554367.50368661
EGX:ORWE,7.64188337,7.79097501,7.60442315,7.70631493,3316518.8196021
EGX:ORWE,7.754264,7.94156507,7.49354092,7.65461984,9111787.58776839
EGX:ORWE,7.64188337,7.7535148,7.48455062,7.59842952,8603555.02073352
EGX:ORWE,7.49204252,7.64188337,6.14347486,7.17138317,5272073.65923878
EGX:ORWE,7.33096345,7.33096345,6.89267911,7.06274825,2809233.92471208
EGX:ORWE,7.12118664,7.33470977,6.85671709,7.05001186,4250256.17967488
EGX:ORWE,6.89267911,6.89267911,6.37647746,6.6207182,3955036.28531143
EGX:ORWE,6.59299741,6.76156837,6.36074425,6.59973995,2381553.48998951
EGX:ORWE,6.59524495,6.66791784,6.29331571,6.4281727,2560369.88047632
EGX:ORWE,6.48061678,6.48061678,5.55310214,5.93744369,5952582.34421149
EGX:ORWE,5.99438337,6.59299741,5.91871359,6.33826782,4836184.5150925
EGX:ORWE,6.63045763,6.63045763,6.33152528,6.40869324,3545321.57885603
EGX:ORWE,6.36823614,6.36823614,6.14347486,6.2124015,2394353.73769249
EGX:ORWE,6.21839529,6.55403902,6.21839529,6.46188667,2835194.80248299
EGX:ORWE,6.57801355,7.19161146,6.48211496,6.88818404,5297113.55985483
EGX:ORWE,7.11744039,7.34220167,6.81775869,7.01255164,5639343.33160087
EGX:ORWE,6.8364888,6.92264743,6.36823614,6.79078726,2798475.84374378
EGX:ORWE,6.96685019,7.11744039,6.89192976,7.00356157,3184351.92413294
EGX:ORWE,7.15265306,7.25903992,6.98632965,7.1331736,4276777.6522357
EGX:ORWE,7.04177061,7.04626621,6.74283826,6.87994279,3289717.04964633
EGX:ORWE,6.74358762,6.74433645,6.07155133,6.34276349,4401870.37535598
EGX:ORWE,6.51807699,6.58550552,6.21839529,6.34575979,2110585.99403723
EGX:ORWE,6.21839529,6.26334739,6.07679576,6.15770989,1690179.94408852
EGX:ORWE,6.07080198,6.36673795,6.00112591,6.21989347,2968549.62500696
EGX:ORWE,6.38322,6.39071249,6.15096676,6.28132815,1271789.36588448
EGX:ORWE,6.36074425,6.36823614,5.92096113,6.07829387,2424759.3312977
EGX:ORWE,5.99363401,6.04532926,5.63851135,5.81532363,4276110.27748581
EGX:ORWE,5.62652378,6.18093508,4.57389188,5.62202878,8284429.76282883
EGX:ORWE,6.14272551,6.21839529,5.61903189,5.88200273,4109279.93750711
EGX:ORWE,5.71717749,5.99363401,5.71717749,5.92845302,3132817.24594606
EGX:ORWE,5.98539269,6.24836361,5.98539269,6.15621119,2464801.81629139
EGX:ORWE,6.21764593,6.21764593,6.06855444,6.14272551,1753193.46797358
EGX:ORWE,6.06106254,6.14272551,5.92620548,6.07005262,560621.48490161
EGX:ORWE,6.07005262,6.1719444,6.03858612,6.1097609,1471134.20367805
EGX:ORWE,6.03109422,6.16220497,6.01236412,6.08953208,1426673.69784006
EGX:ORWE,6.14347486,6.17644,6.03259241,6.08503701,1370494.09139392
EGX:ORWE,6.06855444,6.15471308,5.9561738,6.04083366,1472028.48584291
EGX:ORWE,5.97865015,6.06705625,5.93744369,6.00262469,1118533.42831865
EGX:ORWE,5.98614212,6.03109422,5.90223102,5.96066888,1062861.02668242
EGX:ORWE,5.87376148,5.94044059,5.80633295,5.84828824,783044.14154654
EGX:ORWE,5.73141252,5.91646605,5.73141252,5.81607238,687676.28978658
EGX:ORWE,5.80633295,5.93744369,5.74265074,5.81382484,1323617.68896131
EGX:ORWE,5.82506306,5.86926581,5.75164081,5.77786341,979866.30278551
EGX:ORWE,5.87750713,6.12923983,5.84379316,5.95542445,1606104.07309677
EGX:ORWE,6.14347486,6.27083936,6.13897979,6.21315086,4026765.72343012
EGX:ORWE,6.13598297,6.36673795,6.13598297,6.26109993,1600284.56527769
EGX:ORWE,6.22888407,6.29331571,6.08728454,6.2296335,1219427.14300774
EGX:ORWE,6.21914464,6.2558555,5.9951322,6.15546243,1850870.43636818
EGX:ORWE,6.05357058,6.05357058,5.77336781,5.92695491,2495607.83474653
EGX:ORWE,5.76887274,5.88874527,5.69395231,5.76437766,1421134.48741594
EGX:ORWE,5.76887274,5.88125337,5.66398399,5.77261898,821258.01972552
EGX:ORWE,5.6564921,5.7231712,5.50515307,5.62802256,2336879.42423156
EGX:ORWE,5.69395231,5.71193306,5.58906357,5.64600331,738503.55073856
EGX:ORWE,5.61903189,5.93744369,5.61903189,5.84229498,819816.49026574
EGX:ORWE,5.88125337,5.88125337,5.58906357,5.66023835,1129024.55938699
EGX:ORWE,5.65574275,5.78760284,5.65574275,5.74115195,556283.54902729
EGX:ORWE,5.73141252,5.73141252,5.61903189,5.64675267,606309.96027941
EGX:ORWE,5.73066317,5.76063142,5.67896845,5.69619985,557578.25604209
EGX:ORWE,5.67522221,5.74639638,5.54486082,5.68121599,2645033.04124797
EGX:ORWE,5.61903189,5.91796423,5.60105113,5.65948899,1354623.91984142
EGX:ORWE,5.55609903,5.65724145,5.43922272,5.54036522,675970.53667342
EGX:ORWE,5.43173082,5.61903189,5.43173082,5.48042925,925395.1756991
EGX:ORWE,5.46919104,5.46919104,5.09908399,5.32759151,1538979.52075236
EGX:ORWE,4.87057699,5.35456286,4.87057699,5.22644901,896671.36646363
EGX:ORWE,5.31935019,5.35606104,5.09458891,5.17775066,588197.40956726
EGX:ORWE,5.23693787,5.39427061,5.02566227,5.20247447,802091.01690854
EGX:ORWE,5.01966849,5.06087494,4.74246284,4.89979595,1583199.77168038
EGX:ORWE,5.01891913,5.31935019,4.98445581,5.14478545,2259263.74081879
EGX:ORWE,5.09458891,5.28188997,5.02341473,5.18749009,901276.2522379
