symbol,open,high,low,close,volume
EGX:PHDC,0.74489682,0.74489682,0.74489682,0.74489682,108429782.4316619
EGX:PHDC,6.30696688,6.30696688,6.30696688,6.30696688,39280608.07921886
EGX:PHDC,6.496841,6.496841,6.496841,6.496841,59068583.5777727
EGX:PHDC,8.56631386,9.31121071,8.04488606,8.18641646,42173132.69449766
EGX:PHDC,8.11937537,8.15289573,7.78417216,7.85121287,5134235.65065
EGX:PHDC,7.52345863,7.7804473,6.95361216,7.29254023,10890294.3034491
EGX:PHDC,7.24039782,7.2999892,6.89029593,7.0392753,3185834.3571248
EGX:PHDC,7.1882543,7.1882543,6.7487659,6.90891798,2595057.26392033
EGX:PHDC,6.89029593,7.08024463,6.0746335,6.75248964,3146784.65551702
EGX:PHDC,6.70407171,6.89402041,6.70407171,6.72641825,1631718.52363836
EGX:PHDC,6.7077962,6.85305109,6.70407171,6.73759207,1353371.26252187
EGX:PHDC,6.87167388,6.94616319,6.76738795,6.8679494,706202.46945023
EGX:PHDC,6.96478599,6.96478599,6.73386759,6.76366346,954843.60442615
EGX:PHDC,6.77111243,7.40799887,6.70407171,7.00203008,4215461.46944984
EGX:PHDC,7.33723442,7.40055065,7.08396911,7.27019333,1910728.96381819
EGX:PHDC,7.25901987,7.41172373,7.09514219,7.27019333,1354217.01719778
EGX:PHDC,7.26274436,7.41544821,7.26274436,7.33350993,4219037.80350798
EGX:PHDC,7.41172373,7.56070273,7.41172373,7.45269306,2181408.04920643
EGX:PHDC,7.41172373,7.41172373,7.27019333,7.37075477,317466.77104673
EGX:PHDC,7.41172373,7.48248893,7.28881575,7.38937682,613964.19600182
EGX:PHDC,7.2999892,7.37447851,7.07652014,7.14356086,1678369.27758742
EGX:PHDC,7.29254023,7.33350993,7.07652014,7.12493807,1012395.19642029
EGX:PHDC,7.1510102,7.22549951,7.07652014,7.08396911,1566590.04372226
EGX:PHDC,7.25529539,7.2999892,7.07652014,7.08024463,430381.73261955
EGX:PHDC,7.07652014,7.1882543,7.07652014,7.08024463,859944.55991798
EGX:PHDC,7.16963225,7.42662204,7.11748984,7.28136641,1067079.27732277
EGX:PHDC,7.39310131,7.44896857,7.16963225,7.25529539,509482.6167688
EGX:PHDC,7.12121433,7.31861162,7.11376499,7.16590777,302302.25546087
EGX:PHDC,7.28509089,7.28881575,7.07652014,7.08024463,2333692.21970904
EGX:PHDC,7.09141845,7.23294848,7.08769397,7.15473394,408341.09727176
EGX:PHDC,7.12121433,7.2999892,7.07652014,7.14728572,1682442.32470919
EGX:PHDC,7.08396911,7.09514219,7.07652014,7.07652014,2823553.3279967
EGX:PHDC,7.01320391,7.16963225,7.00203008,7.08769397,1915884.03993803
EGX:PHDC,7.18080608,7.18080608,6.96478599,6.99458186,517902.57443121
EGX:PHDC,7.0392753,7.05417361,6.67055136,6.73759207,1212930.34241749
EGX:PHDC,6.64820445,6.90519424,6.64820445,6.88284696,533255.0355006
EGX:PHDC,6.95361216,6.95361216,6.68544967,6.87167388,5232039.79534654
EGX:PHDC,6.88284696,7.0392753,6.35024533,6.74131656,16304093.49098763
EGX:PHDC,6.63330614,6.79718382,6.37259299,6.70034723,936526.97458785
EGX:PHDC,6.70407171,6.74131656,6.38749055,6.56254168,641812.34679087
EGX:PHDC,6.70407171,6.70407171,6.44708193,6.57371476,594447.40000437
EGX:PHDC,6.70407171,6.70407171,6.4768778,6.56626542,1335564.77042459
EGX:PHDC,6.69289789,6.70407171,6.48060266,6.57371476,1249265.57425592
EGX:PHDC,6.51412302,6.55509234,6.33162329,6.38004121,326190.12641827
EGX:PHDC,6.42473539,6.42845988,6.26085771,6.36141916,281563.81382044
EGX:PHDC,6.23478669,6.53646955,6.23478669,6.38749055,225317.10046913
EGX:PHDC,6.50667367,6.5178475,6.3055519,6.35769468,121563.13875094
EGX:PHDC,6.33162329,6.33162329,6.1677456,6.31300124,208718.82933745
EGX:PHDC,6.249685,6.33162329,6.14539907,6.17147046,549692.21050354
EGX:PHDC,6.18264391,6.23106221,6.14539907,6.1565729,863918.26442702
EGX:PHDC,6.14539907,6.24596015,6.14539907,6.17891943,39253.75670419
EGX:PHDC,6.11187871,6.17519495,5.59045091,5.76550167,245784.36362618
EGX:PHDC,5.95545037,6.07090901,5.62397127,5.93310347,457700.95111922
EGX:PHDC,5.95917486,6.10815423,5.72453235,5.94427692,750554.91862919
EGX:PHDC,5.97034868,6.05228696,5.77295064,5.93682795,995920.43232064
EGX:PHDC,5.94055244,5.95917486,5.79902203,5.94055244,760314.65909566
EGX:PHDC,5.81019549,6.03366492,5.81019549,5.96662383,205985.56501974
EGX:PHDC,5.95917486,6.08953181,5.89958311,5.98152139,387234.81947069
EGX:PHDC,5.95917486,5.95917486,5.77295064,5.92937898,209731.05001306
EGX:PHDC,5.72080786,5.95545037,5.66866508,5.90330759,405124.54456782
EGX:PHDC,5.78039961,5.92193001,5.62397127,5.82509342,194147.68449246
EGX:PHDC,5.77295064,5.92193001,5.63514472,5.72453235,563178.64141498
EGX:PHDC,5.91075656,5.91820553,5.49361432,5.74687925,1183170.51756734
EGX:PHDC,5.76550167,5.81019549,5.67983854,5.77295064,1005935.24165762
EGX:PHDC,5.81019549,5.88468517,5.62397127,5.73943028,1308978.53931072
EGX:PHDC,5.66866508,5.81019549,5.66866508,5.77667513,1365254.78695229
EGX:PHDC,5.77295064,5.82881791,5.6872875,5.76922616,1696323.44113605
EGX:PHDC,5.77295064,5.77295064,5.6165223,5.74687925,806946.61849637
EGX:PHDC,5.76922616,5.88468517,5.21800248,5.69846096,1978864.57147087
EGX:PHDC,5.62397127,5.88468517,5.40050221,5.72080786,732219.49424254
EGX:PHDC,5.51223674,5.77295064,5.40050221,5.66121611,1844612.42764578
EGX:PHDC,5.76922616,5.77295064,5.55320607,5.5941754,2341559.08066275
EGX:PHDC,5.75060374,5.75432822,5.58672643,5.62769576,849059.83148578
EGX:PHDC,5.7357058,6.01504212,5.7357058,5.89958311,1251800.15334817
EGX:PHDC,5.77295064,5.94427692,5.58300194,5.70218544,661901.03404537
EGX:PHDC,5.55320607,5.58300194,5.4042267,5.4749919,319305.9518499
EGX:PHDC,5.70963441,5.95917486,5.49361432,5.69846096,655908.25805605
EGX:PHDC,5.81019549,5.95545037,5.7357058,5.8772362,636493.48960681
EGX:PHDC,5.90330759,5.92937898,5.74315477,5.87351172,452913.71116001
