symbol,open,high,low,close,volume
EGX:SWDY,2.31307323,2.32652133,2.19849537,2.31145952,5909161.80039081
EGX:SWDY,2.19634383,2.19634383,2.19634383,2.19634383,2788.4979616
EGX:SWDY,2.08660728,2.2807979,2.08660728,2.12964115,19607936.88655858
EGX:SWDY,2.20548843,2.21893653,2.20495062,2.20548843,1726582.16786495
EGX:SWDY,2.31199739,2.3157628,2.2216261,2.30123885,1717026.91484986
EGX:SWDY,2.1866612,2.29155617,2.1866612,2.2807979,6140532.77125816
EGX:SWDY,2.17913005,2.2539017,2.17859223,2.20602625,444709.65491635
EGX:SWDY,2.09575188,2.20548843,2.09575188,2.19204033,210624.54603303
EGX:SWDY,2.20548843,2.20548843,2.20548843,2.20548843,46474.96602671
EGX:SWDY,2.09790363,2.12533765,2.09790363,2.10328276,3015314.3857991
EGX:SWDY,2.15169603,2.15169603,1.9983878,2.05164211,20448.98505175
EGX:SWDY,1.9983878,1.9983878,1.94943671,1.99031883,1330596.86733101
EGX:SWDY,1.90156126,1.90156126,1.890803,1.89349256,31788.87676227
EGX:SWDY,1.79881783,1.79881783,1.79881783,1.79881783,197221.16583093
EGX:SWDY,1.70898457,1.88865125,1.70898457,1.74125996,792230.86087764
EGX:SWDY,1.82786578,1.82786578,1.82786578,1.82786578,11153.99184641
EGX:SWDY,1.91877483,1.91877483,1.78859733,1.81226593,10808645.66885821
EGX:SWDY,1.83432076,1.83432076,1.77514923,1.77514923,3775979.44975141
EGX:SWDY,1.68639177,1.72135683,1.68639177,1.72028098,8674849.84866726
EGX:SWDY,1.72135683,1.72135683,1.72135683,1.72135683,2371822.00619333
EGX:SWDY,1.65142676,1.77514923,1.65142676,1.77514923,3720785.78009809
EGX:SWDY,1.68639177,1.68639177,1.68639177,1.68639177,388530.71598326
EGX:SWDY,1.74825303,1.77030791,1.74825303,1.76869419,63205.95379632
EGX:SWDY,1.8504587,1.8504587,1.73480493,1.83754841,41827.46942404
EGX:SWDY,1.74825303,1.92899555,1.74825303,1.92361615,96667.92933555
EGX:SWDY,1.89403038,2.01452546,1.89403038,1.99462233,11153.99184641
EGX:SWDY,2.09360013,2.09360013,2.04411123,2.07100743,209880.9465766
EGX:SWDY,2.07100743,2.17428873,2.07100743,2.16460632,340159.57134267
EGX:SWDY,2.16514413,2.20548843,2.16514413,2.16675785,44615.96738564
EGX:SWDY,2.05863518,2.15169603,2.05863518,2.1151172,307608.50513756
EGX:SWDY,2.01022196,2.01022196,2.01022196,2.01022196,1858.99864107
EGX:SWDY,2.0209805,2.02259416,2.01721503,2.01882875,179411.9588495
EGX:SWDY,1.91823701,1.91823701,1.91823701,1.91823701,35320.9741803
EGX:SWDY,2.01398743,2.01398743,1.91823701,1.91823701,92.94993205
EGX:SWDY,1.82302441,1.82947944,1.82248659,1.82248659,502264.25284382
EGX:SWDY,1.9133957,1.9133957,1.9133957,1.9133957,282567.79344237
EGX:SWDY,2.00860825,2.00860825,2.00807043,2.00860825,3464299.7375899
EGX:SWDY,2.01721503,2.04411123,2.01721503,2.0387321,25282.38151853
EGX:SWDY,2.01398743,2.01398743,1.9795603,1.98978101,8503152.7341782
EGX:SWDY,1.99031883,1.99031883,1.890803,1.98655336,1830741.86172401
EGX:SWDY,1.97418116,1.99031883,1.90963023,1.95911913,10642209.52052337
EGX:SWDY,1.99031883,2.01721503,1.99031883,1.99031883,2826607.43374426
EGX:SWDY,1.98924298,2.01667721,1.98924298,1.99031883,2711944.39756317
EGX:SWDY,1.96342263,1.98924298,1.89134081,1.98870511,26285924.75493599
EGX:SWDY,1.89456841,1.89456841,1.88972709,1.88972709,1737420.12994238
EGX:SWDY,1.9838638,1.9838638,1.79612821,1.88273403,5894048.14143892
EGX:SWDY,1.90963023,1.90963023,1.85637564,1.88273403,4317524.34388099
EGX:SWDY,1.88273403,1.88273403,1.78859733,1.79021105,1100155.39578419
EGX:SWDY,1.87412724,1.87789271,1.82894163,1.86121696,111539.91846409
EGX:SWDY,1.86121696,1.86121696,1.77514923,1.85798958,7189454.1644945
EGX:SWDY,1.78375601,1.80204543,1.77568704,1.78052836,4911400.04975666
EGX:SWDY,1.78859733,1.85583783,1.72781186,1.77030791,126839.47728009
EGX:SWDY,1.74825303,1.74879084,1.74825303,1.74879084,3903.89714624
EGX:SWDY,1.76977009,1.76977009,1.76977009,1.76977009,4647.49660267
EGX:SWDY,1.76977009,1.76977009,1.72135683,1.73695668,7157.14476811
EGX:SWDY,1.82356249,1.82356249,1.77514923,1.81764528,96946.77913171
EGX:SWDY,1.77514923,1.77514923,1.77514923,1.77514923,34168.39502283
EGX:SWDY,1.76977009,1.77514923,1.76977009,1.77514923,2112045.53609045
EGX:SWDY,1.77514923,1.8639068,1.77514923,1.77622507,60985212.60968654
EGX:SWDY,1.86498243,1.86498243,1.85583783,1.86121696,8137599.24139854
EGX:SWDY,1.95427803,1.95427803,1.95427803,1.95427803,3562547.81577036
EGX:SWDY,2.05164211,2.05164211,2.05164211,2.05164211,71571.44768113
EGX:SWDY,2.15384778,2.15384778,2.09790363,2.15008231,23081382.89746254
EGX:SWDY,2.09790363,2.11296545,2.04303538,2.05809715,1094541.21988816
EGX:SWDY,2.04411123,2.09790363,2.04411123,2.08230378,1150534.25895714
EGX:SWDY,2.15169603,2.159765,1.9806362,2.06670393,2059287.15465694
EGX:SWDY,2.05486976,2.07100743,1.96342263,2.02635963,2567184.17338319
EGX:SWDY,1.99569796,2.04411123,1.96503635,2.01452546,480049.21908305
EGX:SWDY,1.96342263,1.96880176,1.95589175,1.96180891,40897.9701035
EGX:SWDY,1.9795603,1.99031883,1.90963023,1.91231979,2945044.23716672
EGX:SWDY,1.92038876,2.0075324,1.92038876,1.94620906,2881447.89365578
EGX:SWDY,1.93652643,2.03066313,1.92038876,1.9445954,1530160.37144968
EGX:SWDY,1.96342263,1.99031883,1.93652643,1.95965716,2559599.45892763
EGX:SWDY,2.03604226,2.05755933,1.93652643,1.98009833,855306.68476909
EGX:SWDY,2.0387321,2.05755933,1.9661122,2.00699453,635554.45540841
EGX:SWDY,1.95589175,1.99031883,1.94190556,1.96557438,482930.66697671
EGX:SWDY,1.93652643,2.0333527,1.93652643,1.99085665,880700.60620608
EGX:SWDY,1.89187863,1.96288481,1.89187863,1.93652643,10316680.26848591
EGX:SWDY,1.97902248,2.00860825,1.9580435,1.98924298,969802.41107248
EGX:SWDY,1.99031883,2.088221,1.95535366,2.00269108,157319210.01934013
EGX:SWDY,2.10274495,2.10274495,2.04411123,2.09628991,602408.50963816
EGX:SWDY,2.10274495,2.1947299,2.09575188,2.12103436,920148.55736955
EGX:SWDY,2.15169603,2.17859223,2.1274894,2.15223385,6864705.69188629
EGX:SWDY,2.21893653,2.25928083,2.15815107,2.25336362,22145265.54176622
EGX:SWDY,2.2888666,2.29155617,2.159765,2.21140565,1793041.36928314
EGX:SWDY,2.20548843,2.23130879,2.16837173,2.20279887,1499542.66383129
EGX:SWDY,2.16245457,2.31253542,2.16245457,2.27111522,4236862.39284504
EGX:SWDY,2.31307323,2.31307323,2.15761325,2.18773683,2069771.90699256
EGX:SWDY,2.09790363,2.20602625,2.08445553,2.17267501,2859623.24960964
EGX:SWDY,2.09897948,2.2807979,2.09897948,2.22539157,2205813.42754594
EGX:SWDY,2.25874302,2.31307323,2.23238463,2.28832878,1921572.5353266
EGX:SWDY,2.25928083,2.39376184,2.25874302,2.36578979,4220577.56474929
EGX:SWDY,2.38569287,2.42065804,2.33996944,2.38569287,4853306.34222327
EGX:SWDY,2.39376184,2.4152789,2.37224477,2.39376184,9926364.91380722
EGX:SWDY,2.40452037,2.41258907,2.39376184,2.40129272,1463013.3405343
EGX:SWDY,2.3695552,2.43410614,2.36686564,2.40774775,2423372.03851015
EGX:SWDY,2.47445044,2.52770502,2.42065804,2.47391262,9468419.18856647
EGX:SWDY,2.59709706,2.59709706,2.44755424,2.47982957,2330143.25666058
EGX:SWDY,2.47445044,2.52501524,2.44809205,2.47929175,8591641.06949305
EGX:SWDY,2.59709706,2.60301422,2.42926482,2.56535954,11147132.14142392
